Récit	récit	NOUN	O	O	O
des	de	ADP	O	O	O
temps	temps	NOUN	O	O	O
futurs	futur	ADJ	O	O	O
.	.	PUNCT	O	O	O

Vers	vers	ADP	O	O	O
les	le	DET	O	O	O
derniers	dernier	ADJ	O	O	O
jours	jour	NOUN	O	O	O
du	de	ADP	O	O	O
mois	mois	NOUN	O	O	O
de	de	ADP	O	O	O
décembre	décembre	NOUN	O	O	O
1935	1935	NUM	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
professeur	professeur	NOUN	O	O	O
Hermann	hermann	PROPN	O	O	O
Bakermann	bakermann	PROPN	O	O	O
rentrait	rentraire	VERB	O	O	O
joyeusement	joyeusement	ADV	O	O	O
au	au	ADP	O	O	O
logis	logis	NOUN	O	O	O
,	,	PUNCT	O	O	O
arpentant	arpenter	VERB	O	O	O
,	,	PUNCT	O	O	O
aussi	aussi	ADV	O	O	O
vite	vite	ADV	O	O	O
que	que	SCONJ	O	O	O
le	le	PRON	O	O	O
permettait	permettre	VERB	O	O	O
un	un	DET	O	O	O
généreux	généreux	ADJ	O	O	O
embonpoint	embonpoint	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
rues	rue	NOUN	O	O	O
paisibles	paisible	ADJ	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
petite	petit	ADJ	O	O	O
ville	ville	NOUN	O	O	O
de	de	ADP	O	O	O
Brunnwald	brunnwald	PROPN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
marchait	marcher	VERB	O	O	O
en	en	ADP	O	O	O
se	se	PRON	O	O	O
frottant	frotter	VERB	O	O	O
les	le	DET	O	O	O
mains	main	NOUN	O	O	O
,	,	PUNCT	O	O	O
signe	signe	NOUN	O	O	O
de	de	ADP	O	O	O
profonde	profond	ADJ	O	O	O
satisfaction	satisfaction	NOUN	O	O	O
satisfaction	satisfaction	NOUN	O	O	O
légitime	légitime	ADJ	O	O	O
,	,	PUNCT	O	O	O
car	car	CCONJ	O	O	O
,	,	PUNCT	O	O	O
après	après	ADP	O	O	O
de	de	DET	O	O	O
longs	long	ADJ	O	O	O
travaux	travail	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
professeur	professeur	NOUN	O	O	O
Hermann	hermann	PROPN	O	O	O
Bakermann	bakermann	PROPN	O	O	O
avait	avoir	AUX	O	O	O
enfin	enfin	ADV	O	O	O
trouvé	trouver	VERB	O	O	O
le	le	DET	O	O	O
moyen	moyen	NOUN	O	O	O
de	de	ADP	O	O	O
créer	créer	VERB	O	O	O
un	un	DET	O	O	O
nouveau	nouveau	ADJ	O	O	O
microbe	microbe	NOUN	O	O	O
,	,	PUNCT	O	O	O
plus	plus	ADV	O	O	O
redoutable	redoutable	ADJ	O	O	O
que	que	SCONJ	O	O	O
tous	tout	ADJ	O	O	O
les	le	DET	O	O	O
microbes	microbe	NOUN	O	O	O
connus	connaître	VERB	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
se	se	PRON	O	O	O
rappelle	rappeler	VERB	O	O	O
sans	sans	ADP	O	O	O
doute	doute	NOUN	O	O	O
que	que	SCONJ	O	O	O
,	,	PUNCT	O	O	O
depuis	depuis	ADP	O	O	O
un	un	DET	O	O	O
demi	demi	NOUN	O	O	O
-	-	NOUN	O	O	O
siècle	siècle	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
science	science	NOUN	O	O	O
des	de	ADP	O	O	O
microbes	microbe	NOUN	O	O	O
avait	avoir	AUX	O	O	O
fait	faire	VERB	O	O	O
des	un	DET	O	O	O
progrès	progrès	NOUN	O	O	O
extraordinaires	extraordinaire	ADJ	O	O	O
.	.	PUNCT	O	O	O

Un	un	DET	O	O	O
Français	français	NOUN	O	O	O
célèbre	célèbre	ADJ	O	O	O
,	,	PUNCT	O	O	O
Louis	louis	PROPN	O	O	O
Pasteur	pasteur	PROPN	O	O	O
,	,	PUNCT	O	O	O
avait	avoir	AUX	O	O	O
le	le	DET	O	O	O
premier	premier	ADJ	O	O	O
,	,	PUNCT	O	O	O
vers	vers	ADP	O	O	O
le	le	DET	O	O	O
milieu	milieu	NOUN	O	O	O
du	de	ADP	O	O	O
XIXe	xix	ADJ	O	O	O
siècle	siècle	NOUN	O	O	O
,	,	PUNCT	O	O	O
prouvé	prouver	VERB	O	O	O
qu'	que	SCONJ	O	O	O
il	il	PRON	O	O	O
existe	exister	VERB	O	O	O
certains	certain	DET	O	O	O
êtres	être	NOUN	O	O	O
minuscules	minuscule	ADJ	O	O	O
,	,	PUNCT	O	O	O
pénétrant	pénétrer	VERB	O	O	O
su	savoir	ADV	O	O	O
-	-	NOUN	O	O	O
breptioement	breptioement	ADV	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
corps	corps	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
homme	homme	NOUN	O	O	O
ou	ou	CCONJ	O	O	O
des	de	ADP	O	O	O
animaux	animal	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
avait	avoir	AUX	O	O	O
appelé	appeler	VERB	O	O	O
microbes	microbe	NOUN	O	O	O
ces	ce	DET	O	O	O
parasites	parasite	NOUN	O	O	O
perfides	perfide	ADJ	O	O	O
.	.	PUNCT	O	O	O

Même	même	ADV	O	O	O
s'	se	SCONJ	O	O	O
il	il	PRON	O	O	O
avait	avoir	AUX	O	O	O
indiqué	indiquer	VERB	O	O	O
d'	de	DET	O	O	O
ingénieux	ingénieux	ADJ	O	O	O
procédés	procédé	NOUN	O	O	O
pour	pour	ADP	O	O	O
les	le	PRON	O	O	O
reconnaître	reconnaître	VERB	O	O	O
,	,	PUNCT	O	O	O
les	le	PRON	O	O	O
recueillir	recueillir	VERB	O	O	O
,	,	PUNCT	O	O	O
les	le	PRON	O	O	O
cultiver	cultiver	VERB	O	O	O
.	.	PUNCT	O	O	O

Mais	mais	CCONJ	O	O	O
maintenant	maintenant	ADV	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
1935	1935	NUM	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
travaux	travail	NOUN	O	O	O
de	de	ADP	O	O	O
Pasteur	pasteur	PROPN	O	O	O
étaient	être	AUX	O	O	O
bien	bien	ADV	O	O	O
dépassés	dépasser	VERB	O	O	O
.	.	PUNCT	O	O	O

Obéissant	obéir	VERB	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
impulsion	impulsion	NOUN	O	O	O
donnée	donner	VERB	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
maître	maître	NOUN	O	O	O
,	,	PUNCT	O	O	O
tous	tout	ADJ	O	O	O
les	le	DET	O	O	O
savants	savant	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Europe	europe	PROPN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Amérique	amérique	PROPN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Australie	australie	PROPN	O	O	O
et	et	CCONJ	O	O	O
même	même	ADV	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Afrique	afrique	PROPN	O	O	O
s'	se	PRON	O	O	O
