I	i	NOUN	O	O	O
HEALTHFUL	healthful	PROPN	O	O	O
-	-	PROPN	O	O	O
HOUSE	house	PROPN	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
carte	carte	NOUN	O	O	O
que	que	PRON	O	O	O
reçut	recevoir	VERB	O	O	O
ce	ce	DET	O	O	O
jour	jour	NOUN	O	O	O
-	-	NOUN	O	O	O
là	là	ADV	O	O	O
—	—	PUNCT	O	O	O
15	15	NUM	O	O	O
juin	juin	NOUN	O	O	O
189	189	NUM	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
le	le	DET	O	O	O
directeur	directeur	NOUN	O	O	O
de	de	ADP	O	O	O
L	l	DET	O	O	O
'	'	DET	O	O	O
établissement	établissement	NOUN	O	O	O
de	de	ADP	O	O	O
Healthful	healthful	PROPN	O	O	O
-	-	PROPN	O	O	O
House	house	PROPN	O	O	O
,	,	PUNCT	O	O	O
portait	porter	VERB	O	O	O
correetement	correetement	ADV	O	O	O
ce	ce	DET	O	O	O
simple	simple	ADJ	O	O	O
nom	nom	NOUN	O	O	O
,	,	PUNCT	O	O	O
sans	sans	ADP	O	O	O
écusson	écusson	NOUN	O	O	O
ni	ni	CCONJ	O	O	O
couronne	couronne	NOUN	O	O	O
:	:	PUNCT	O	O	O
LE	le	DET	O	O	O
COMTE	comte	NOUN	O	O	O
D	d	ADP	O	O	O
'	'	ADP	O	O	O
ARTIGAS	artigas	PROPN	O	O	O
.	.	PUNCT	O	O	O

Au	au	ADP	O	O	O
-	-	NOUN	O	O	O
dessous	dessous	NOUN	O	O	O
de	de	ADP	O	O	O
ce	ce	DET	O	O	O
nom	nom	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
angle	angle	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
carte	carte	NOUN	O	O	O
,	,	PUNCT	O	O	O
était	être	AUX	O	O	O
écrite	écrire	VERB	O	O	O
au	au	ADP	O	O	O
crayon	crayon	NOUN	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
adresse	adresse	NOUN	O	O	O
suivante	suivant	ADJ	O	O	O
:	:	PUNCT	O	O	O
«	«	PUNCT	O	O	O
A	à	ADP	O	O	O
bord	bord	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
goélette	goélette	NOUN	O	O	O
Ebba	ebba	PROPN	O	O	O
,	,	PUNCT	O	O	O
au	au	ADP	O	O	O
mouillage	mouillage	NOUN	O	O	O
de	de	ADP	O	O	O
New	new	PROPN	O	O	O
-	-	PROPN	O	O	O
Berne	berne	PROPN	O	O	O
,	,	PUNCT	O	O	O
Pam	pam	PROPN	O	O	O
-	-	PROPN	O	O	O
plico	plico	PROPN	O	O	O
-	-	PROPN	O	O	O
Sound	sound	PROPN	O	O	O
.	.	PUNCT	O	O	O

»	»	PUNCT	O	O	O
La	le	DET	O	O	O
capitale	capitale	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Caroline	caroline	PROPN	O	O	O
du	de	ADP	O	O	O
Nord	nord	PROPN	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
un	un	PRON	O	O	O
des	de	ADP	O	O	O
quarante	quarante	NUM	O	O	O
-	-	NUM	O	O	O
quatre	quatre	NUM	O	O	O
États	état	NOUN	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
