DIALOGUE	dialogue	NOUN	O	O	O
LABORIEUX	laborieux	ADJ	O	O	O
SUR	sur	ADP	O	O	O
LA	le	DET	O	O	O
PUISSANCE	puissance	NOUN	O	O	O
DES	de	ADP	O	O	O
MOTS	mot	NOUN	O	O	O
ET	et	CCONJ	O	O	O
LA	le	DET	O	O	O
FAIBLESSE	faiblesse	NOUN	O	O	O
DE	de	ADP	O	O	O
LA	le	DET	O	O	O
PENSÉE	pensée	NOUN	O	O	O

Il	il	PRON	O	O	O
était	être	AUX	O	O	O
tard	tard	ADJ	O	O	O
lorsque	lorsque	SCONJ	O	O	O
nous	nous	PRON	O	O	O
bûmes	boire	VERB	O	O	O
.	.	PUNCT	O	O	O

Nous	nous	PRON	O	O	O
pensions	penser	VERB	O	O	O
tous	tout	ADJ	O	O	O
qu'	que	SCONJ	O	O	O
il	il	PRON	O	O	O
était	être	AUX	O	O	O
grand	grand	ADJ	O	O	O
temps	temps	NOUN	O	O	O
de	de	ADP	O	O	O
commencer	commencer	VERB	O	O	O
.	.	PUNCT	O	O	O

Ce	ce	PRON	O	O	O
qu'	que	PRON	O	O	O
il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	AUX	O	O	O
eu	avoir	VERB	O	O	O
avant	avant	ADP	O	O	O
,	,	PUNCT	O	O	O
on	on	PRON	O	O	O
ne	ne	ADV	O	O	O
s'	se	PRON	O	O	O
en	en	PRON	O	O	O
souvenait	souvenir	VERB	O	O	O
plus	plus	ADV	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
se	se	PRON	O	O	O
disait	dire	VERB	O	O	O
seulement	seulement	ADV	O	O	O
qu'	que	SCONJ	O	O	O
il	il	PRON	O	O	O
était	être	AUX	O	O	O
déjà	déjà	ADV	O	O	O
tard	tard	ADV	O	O	O
.	.	PUNCT	O	O	O

Savoir	savoir	VERB	O	O	O
d'	de	ADP	O	O	O
où	où	ADV	O	O	O
chacun	chacun	PRON	O	O	O
venait	venir	VERB	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
quel	quel	DET	O	O	O
point	point	NOUN	O	O	O
du	de	ADP	O	O	O
globe	globe	NOUN	O	O	O
on	on	PRON	O	O	O
était	être	VERB	O	O	O
,	,	PUNCT	O	O	O
ou	ou	CCONJ	O	O	O
si	si	SCONJ	O	O	O
même	même	ADV	O	O	O
c'	ce	PRON	O	O	O
était	être	AUX	O	O	O
vraiment	vraiment	ADV	O	O	O
un	un	DET	O	O	O
globe	globe	NOUN	O	O	O
(	(	PUNCT	O	O	O
et	et	CCONJ	O	O	O
en	en	ADP	O	O	O
tout	tout	DET	O	O	O
cas	cas	NOUN	O	O	O
ce	ce	PRON	O	O	O
n'	ne	ADV	O	O	O
était	être	AUX	O	O	O
pas	pas	ADV	O	O	O
un	un	DET	O	O	O
point	point	NOUN	O	O	O
)	)	PUNCT	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
le	le	DET	O	O	O
jour	jour	NOUN	O	O	O
du	de	ADP	O	O	O
mois	mois	NOUN	O	O	O
de	de	ADP	O	O	O
quelle	quel	DET	O	O	O
année	année	NOUN	O	O	O
,	,	PUNCT	O	O	O
tout	tout	ADJ	O	O	O
cela	celer	PRON	O	O	O
nous	nous	PRON	O	O	O
dépassait	dépasser	VERB	O	O	O
