I	i	PUNCT	O	O	O

Où	où	PRON	O	O	O
l'	le	PRON	O	O	O
on	on	PRON	O	O	O
tue	taire	VERB	O	O	O
le	le	DET	O	O	O
veau	veau	NOUN	O	O	O
gras	gras	ADJ	O	O	O
pour	pour	ADP	O	O	O
fêter	fêter	VERB	O	O	O
le	le	DET	O	O	O
retour	retour	NOUN	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
enfant	enfant	NOUN	O	O	O
économe	économe	ADJ	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
18	18	NUM	O	O	O
mai	mai	NOUN	O	O	O
1859	1859	NUM	O	O	O
,	,	PUNCT	O	O	O
M.	m.	NOUN	O	O	O
Renault	renault	PROPN	O	O	O
,	,	PUNCT	O	O	O
ancien	ancien	ADJ	O	O	O
professeur	professeur	NOUN	O	O	O
de	de	ADP	O	O	O
physique	physique	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
chimie	chimie	NOUN	O	O	O
,	,	PUNCT	O	O	O
actuellement	actuellement	ADV	O	O	O
propriétaire	propriétaire	NOUN	O	O	O
à	à	ADP	O	O	O
Fontainebleau	fontainebleau	PROPN	O	O	O
et	et	CCONJ	O	O	O
membre	membre	NOUN	O	O	O
du	de	ADP	O	O	O
conseil	conseil	NOUN	O	O	O
municipal	municipal	ADJ	O	O	O
de	de	ADP	O	O	O
cette	ce	DET	O	O	O
aimable	aimable	ADJ	O	O	O
petite	petit	ADJ	O	O	O
ville	ville	NOUN	O	O	O
,	,	PUNCT	O	O	O
porta	porter	VERB	O	O	O
lui	luire	PRON	O	O	O
-	-	PRON	O	O	O
même	même	PRON	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
poste	poste	NOUN	O	O	O
la	le	DET	O	O	O
lettre	lettre	NOUN	O	O	O
suivante	suivant	ADJ	O	O	O
:	:	PUNCT	O	O	O
«	«	PUNCT	O	O	O
A	à	ADP	O	O	O
monsieur	monsieur	NOUN	O	O	O
Léon	léon	PROPN	O	O	O
Renault	renault	PROPN	O	O	O
,	,	PUNCT	O	O	O
ingénieur	ingénieur	NOUN	O	O	O
civil	civil	ADJ	O	O	O
,	,	PUNCT	O	O	O
bureau	bureau	NOUN	O	O	O
restant	rester	VERB	O	O	O
,	,	PUNCT	O	O	O
Berlin	berlin	PROPN	O	O	O
,	,	PUNCT	O	O	O
Prusse	prusse	PROPN	O	O	O
.	.	PUNCT	O	O	O

«	«	PUNCT	O	O	O
Mon	mon	DET	O	O	O
cher	cher	ADJ	O	O	O
enfant	enfant	NOUN	O	O	O
,	,	PUNCT	O	O	O
«	«	PUNCT	O	O	O
Les	le	DET	O	O	O
bonnes	bon	ADJ	O	O	O
nouvelles	nouvelle	NOUN	O	O	O
que	que	PRON	O	O	O
tu	tu	PRON	O	O	O
as	avoir	AUX	O	O	O
datées	dater	VERB	O	O	O
de	de	ADP	O	O	O
Saint	saint	PROPN	O	O	O
-	-	PROPN	O	O	O
Pétersbourg	pétersbourg	PROPN	O	O	O
nous	nous	PRON	O	O	O
ont	avoir	AUX	O	O	O
causé	causer	VERB	O	O	O
la	le	DET	O	O	O
plus	plus	ADV	O	O	O
douce	doux	ADJ	O	O	O
joie	joie	NOUN	O	O	O
.	.	PUNCT	O	O	O

Ta	ton	DET	O	O	O
pauvre	pauvre	ADJ	O	O	O
mère	mère	NOUN	O	O	O
était	être	AUX	O	O	O
souffrante	souffrant	ADJ	O	O	O
depuis	depuis	ADP	O	O	O
l'	le	DET	O	O	O
hiver	hiver	NOUN	O	O	O
;	;	PUNCT	O	O	O

je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
t'	te	PRON	O	O	O
en	en	PRON	O	O	O
avais	avoir	AUX	O	O	O
pas	pas	ADV	O	O	O
parlé	parler	VERB	O	O	O
de	de	ADP	O	O	O
peur	peur	NOUN	O	O	O
de	de	ADP	O	O	O
t'	te	PRON	O	O	O
inquiéter	inquiéter	VERB	O	O	O
à	à	ADP	O	O	O
cette	ce	DET	O	O	O
distance	distance	NOUN	O	O	O
.	.	PUNCT	O	O	O

Moi	moi	PRON	O	O	O
-	-	PRON	O	O	O
même	même	ADV	O	O	O
je	je	PRON	O	O	O
n'	ne	ADV	O	O	O
étais	être	AUX	O	O	O
guère	guère	ADV	O	O	O
vaillant	vaillant	ADJ	O	O	O
;	;	PUNCT	O	O	O

il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	VERB	O	O	O
encore	encore	ADV	O	O	O
une	un	DET	O	O	O
troisième	troisième	ADJ	O	O	O
personne	personne	NOUN	O	O	O
(	(	PUNCT	O	O	O
tu	tu	PRON	O	O	O
devineras	deviner	VERB	O	O	O
son	son	DET	O	O	O
nom	nom	NOUN	O	O	O
si	si	SCONJ	O	O	O
tu	tu	PRON	O	O	O
peux	pouvoir	VERB	O	O	O
)	)	PUNCT	O	O	O
qui	qui	PRON	O	O	O
languissait	languir	VERB	O	O	O
de	de	ADP	O	O	O
ne	ne	ADV	O	O	O
pas	pas	ADV	O	O	O
te	te	PRON	O	O	O
voir	voir	VERB	O	O	O
.	.	PUNCT	O	O	O

Mais	mais	CCONJ	O	O	O
rassure	rassurer	VERB	O	O	O
-	-	PRON	O	O	O
toi	toi	PRON	O	O	O
,	,	PUNCT	O	O	O
mon	mon	DET	O	O	O
cher	cher	ADJ	O	O	O
Léon	léon	PROPN	O	O	O
:	:	PUNCT	O	O	O
nous	nous	PRON	O	O	O
renaissons	renaître	VERB	O	O	O
à	à	ADP	O	O	O
qui	qui	PRON	O	O	O
mieux	mieux	ADV	O	O	O
mieux	mieux	ADV	O	O	O
depuis	depuis	ADP	O	O	O
que	que	SCONJ	O	O	O
la	le	DET	O	O	O
date	date	NOUN	O	O	O
de	de	ADP	O	O	O
ton	ton	DET	O	O	O
retour	retour	NOUN	O	O	O
est	être	AUX	O	O	O
à	à	ADP	O	O	O
peu	peu	ADV	O	O	O
près	près	ADV	O	O	O
fixée	fixer	VERB	O	O	O
.	.	PUNCT	O	O	O

Nous	nous	PRON	O	O	O
commençons	commencer	VERB	O	O	O
à	à	ADP	O	O	O
croire	croire	VERB	O	O	O
que	que	SCONJ	O	O	O
les	le	DET	O	O	O
mines	mine	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Oural	oural	PROPN	O	O	O
ne	ne	ADV	O	O	O
dévoreront	dévorer	VERB	O	O	O
pas	pas	ADV	O	O	O
celui	celui	PRON	O	O	O
qui	qui	PRON	O	O	O
nous	nous	PRON	O	O	O
est	être	AUX	O	O	O
plus	plus	ADV	O	O	O
cher	cher	ADJ	O	O	O
que	que	SCONJ	O	O	O
tout	tout	PRON	O	O	O
au	au	ADP	O	O	O
monde	monde	NOUN	O	O	O
.	.	PUNCT	O	O	O

Dieu	dieu	PROPN	O	O	O
soit	être	AUX	O	O	O
loué	louer	VERB	O	O	O
!	!	PUNCT	O	O	O

Cette	ce	DET	O	O	O
fortune	fortune	NOUN	O	O	O
si	si	ADV	O	O	O
honorable	honorable	ADJ	O	O	O
et	et	CCONJ	O	O	O
si	si	ADV	O	O	O
rapide	rapide	ADJ	O	O	O
ne	ne	ADV	O	O	O
t'	te	PRON	O	O	O
aura	avoir	AUX	O	O	O
pas	pas	ADV	O	O	O
coûté	coûter	VERB	O	O	O
la	le	DET	O	O	O
vie	vie	NOUN	O	O	O
,	,	PUNCT	O	O	O
ni	ni	CCONJ	O	O	O
même	même	ADV	O	O	O
la	le	DET	O	O	O
santé	santé	NOUN	O	O	O
,	,	PUNCT	O	O	O
s'	se	SCONJ	O	O	O
il	il	PRON	O	O	O
est	être	VERB	O	O	O
vrai	vrai	ADJ	O	O	O
que	que	SCONJ	O	O	O
tu	tu	PRON	O	O	O
aies	avoir	AUX	O	O	O
pris	prendre	VERB	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
embonpoint	embonpoint	NOUN	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
désert	désert	NOUN	O	O	O
