CHAPITRE	chapitre	NOUN	O	O	O
I	i	ADJ	O	O	O

Une	un	DET	O	O	O
tête	tête	NOUN	O	O	O
mise	mettre	VERB	O	O	O
à	à	ADP	O	O	O
prix	prix	NOUN	O	O	O
.	.	PUNCT	O	O	O

Une	un	DET	O	O	O
prime	prime	NOUN	O	O	O
de	de	ADP	O	O	O
deux	deux	NUM	O	O	O
mille	mille	NUM	O	O	O
livres	livre	NOUN	O	O	O
est	être	AUX	O	O	O
promise	promettre	VERB	O	O	O
à	à	ADP	O	O	O
quiconque	quiconque	PRON	O	O	O
livrera	livrer	VERB	O	O	O
,	,	PUNCT	O	O	O
mort	mort	ADJ	O	O	O
ou	ou	CCONJ	O	O	O
vif	vif	ADJ	O	O	O
,	,	PUNCT	O	O	O
l'	le	DET	O	O	O
un	un	PRON	O	O	O
des	de	ADP	O	O	O
anciens	ancien	ADJ	O	O	O
chefs	chef	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
révolte	révolte	NOUN	O	O	O
des	de	ADP	O	O	O
Cipayes	cipayes	PROPN	O	O	O
,	,	PUNCT	O	O	O
dont	dont	PRON	O	O	O
on	on	PRON	O	O	O
a	avoir	AUX	O	O	O
signalé	signaler	VERB	O	O	O
la	le	DET	O	O	O
présence	présence	NOUN	O	O	O
dans	dans	ADP	O	O	O
la	le	DET	O	O	O
présidence	présidence	NOUN	O	O	O
de	de	ADP	O	O	O
Bombay	bombay	PROPN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
nabab	nabab	NOUN	O	O	O
Dandou	dandou	PROPN	O	O	O
-	-	PROPN	O	O	O
Pant	pant	PROPN	O	O	O
,	,	PUNCT	O	O	O
plus	plus	ADV	O	O	O
connu	connaître	VERB	O	O	O
sous	sou	ADP	O	O	O
le	le	DET	O	O	O
nom	nom	NOUN	O	O	O
de	de	ADP	O	O	O
…	…	PUNCT	O	O	O
»	»	PUNCT	O	O	O

Telle	tel	ADJ	O	O	O
est	être	AUX	O	O	O
la	le	DET	O	O	O
notice	notice	NOUN	O	O	O
que	que	PRON	O	O	O
les	le	DET	O	O	O
habitants	habitant	NOUN	O	O	O
d'	de	ADP	O	O	O
Aurungabad	aurungabad	PROPN	O	O	O
pouvaient	pouvoir	VERB	O	O	O
lire	lire	VERB	O	O	O
dans	dans	ADP	O	O	O
la	le	DET	O	O	O
soirée	soirée	NOUN	O	O	O
du	de	ADP	O	O	O
6	6	NUM	O	O	O
mars	mars	NOUN	O	O	O
1867	1867	NUM	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
dernier	dernier	ADJ	O	O	O
nom	nom	NOUN	O	O	O
,	,	PUNCT	O	O	O
–	–	PUNCT	O	O	O
un	un	DET	O	O	O
nom	nom	NOUN	O	O	O
exécré	exécrer	VERB	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
jamais	jamais	ADV	O	O	O
maudit	maudire	VERB	O	O	O
des	de	ADP	O	O	O
uns	un	PRON	O	O	O
,	,	PUNCT	O	O	O
secrètement	secrètement	ADV	O	O	O
admiré	admirer	VERB	O	O	O
des	de	ADP	O	O	O
autres	autre	PRON	O	O	O
,	,	PUNCT	O	O	O
–	–	PUNCT	O	O	O
manquait	manquer	VERB	O	O	O
à	à	ADP	O	O	O
celle	celui	PRON	O	O	O
de	de	ADP	O	O	O
ces	ce	DET	O	O	O
notices	notice	NOUN	O	O	O
qui	qui	PRON	O	O	O
avait	avoir	AUX	O	O	O
été	être	AUX	O	O	O
récemment	récemment	ADV	O	O	O
affichée	afficher	VERB	O	O	O
sur	sur	ADP	O	O	O
la	le	DET	O	O	O
muraille	muraille	NOUN	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
bungalow	bungalow	NOUN	O	O	O
en	en	ADP	O	O	O
ruines	ruine	NOUN	O	O	O
,	,	PUNCT	O	O	O
au	au	ADP	O	O	O
bord	bord	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Doudhma	doudhma	PROPN	O	O	O
.	.	PUNCT	O	O	O

Si	si	SCONJ	O	O	O
ce	ce	DET	O	O	O
nom	nom	NOUN	O	O	O
manquait	manquer	VERB	O	O	O
,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
est	être	VERB	O	O	O
que	que	SCONJ	O	O	O
l'	le	DET	O	O	O
angle	angle	NOUN	O	O	O
inférieur	inférieur	ADJ	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
affiche	affiche	NOUN	O	O	O
où	où	PRON	O	O	O
il	il	PRON	O	O	O
était	être	AUX	O	O	O
