I	i	X	O	O	O
CHRISNORE	chrisnore	PROPN	O	O	O
PASSEUR	passeur	PROPN	O	O	O
?	?	PUNCT	O	O	O

La	le	DET	O	O	O
barque	barque	NOUN	O	O	O
,	,	PUNCT	O	O	O
peinte	peindre	VERB	O	O	O
en	en	ADP	O	O	O
bleu	bleu	NOUN	O	O	O
clair	clair	ADJ	O	O	O
et	et	CCONJ	O	O	O
ceinte	ceindre	VERB	O	O	O
d'	de	ADP	O	O	O
une	un	DET	O	O	O
étroite	étroit	ADJ	O	O	O
ceinture	ceinture	NOUN	O	O	O
d'	de	ADP	O	O	O
or	or	NOUN	O	O	O
,	,	PUNCT	O	O	O
aborda	aborder	VERB	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
cale	cale	NOUN	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
passeur	passeur	NOUN	O	O	O
leva	lever	VERB	O	O	O
la	le	DET	O	O	O
tête	tête	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
,	,	PUNCT	O	O	O
suspendant	suspendre	VERB	O	O	O
le	le	DET	O	O	O
mouvement	mouvement	NOUN	O	O	O
des	de	ADP	O	O	O
rames	rame	NOUN	O	O	O
,	,	PUNCT	O	O	O
me	me	PRON	O	O	O
regarda	regarder	VERB	O	O	O
en	en	ADP	O	O	O
face	face	NOUN	O	O	O
.	.	PUNCT	O	O	O

Ce	ce	PRON	O	O	O
n'	ne	ADV	O	O	O
était	être	AUX	O	O	O
point	point	ADV	O	O	O
un	un	DET	O	O	O
passeur	passeur	NOUN	O	O	O
vulgaire	vulgaire	ADJ	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
était	être	AUX	O	O	O
vieux	vieux	ADJ	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
son	son	DET	O	O	O
visage	visage	NOUN	O	O	O
hâlé	hâler	VERB	O	O	O
;	;	PUNCT	O	O	O

mais	mais	CCONJ	O	O	O
ce	ce	DET	O	O	O
visage	visage	NOUN	O	O	O
était	être	AUX	O	O	O
empreint	empreindre	VERB	O	O	O
d'	de	ADP	O	O	O
une	un	DET	O	O	O
