CHAPITRE	chapitre	NOUN	O	O	O
PREMIER	premier	ADJ	O	O	O
LES	le	DET	O	O	O
NAUFRAGÉS	naufragé	NOUN	O	O	O
DE	de	ADP	O	O	O
MARS	mars	PROPN	O	O	O
Nuit	nuit	NOUN	O	O	O
épouvantable	épouvantable	ADJ	O	O	O
,	,	PUNCT	O	O	O
terrifiante	terrifiant	ADJ	O	O	O
,	,	PUNCT	O	O	O
que	que	SCONJ	O	O	O
celle	celui	PRON	O	O	O
pendant	pendant	ADP	O	O	O
laquelle	lequel	PRON	O	O	O
Ossipoff	ossipoff	PROPN	O	O	O
et	et	CCONJ	O	O	O
ses	son	DET	O	O	O
compagnons	compagnon	NOUN	O	O	O
,	,	PUNCT	O	O	O
cramponnés	cramponner	VERB	O	O	O
à	à	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
épave	épave	NOUN	O	O	O
qui	qui	PRON	O	O	O
les	le	PRON	O	O	O
portait	porter	VERB	O	O	O
,	,	PUNCT	O	O	O
roulèrent	rouler	VERB	O	O	O
avec	avec	ADP	O	O	O
elle	lui	PRON	O	O	O
à	à	ADP	O	O	O
travers	travers	NOUN	O	O	O
les	le	DET	O	O	O
eaux	eau	NOUN	O	O	O
en	en	ADP	O	O	O
démence	démence	NOUN	O	O	O
.	.	PUNCT	O	O	O

Inondés	inonder	VERB	O	O	O
par	par	ADP	O	O	O
les	le	DET	O	O	O
vagues	vague	NOUN	O	O	O
,	,	PUNCT	O	O	O
fouettés	fouetter	VERB	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
vent	vent	NOUN	O	O	O
qui	qui	PRON	O	O	O
hurlait	hurler	VERB	O	O	O
à	à	ADP	O	O	O
travers	travers	NOUN	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
espace	espace	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
malheureux	malheureux	NOUN	O	O	O
sentaient	sentir	VERB	O	O	O
trembler	trembler	VERB	O	O	O
sous	sou	ADP	O	O	O
eux	lui	PRON	O	O	O
le	le	DET	O	O	O
sol	sol	NOUN	O	O	O
fragile	fragile	ADJ	O	O	O
qui	qui	PRON	O	O	O
leur	son	PRON	O	O	O
servait	servir	VERB	O	O	O
de	de	ADP	O	O	O
radeau	radeau	NOUN	O	O	O
;	;	PUNCT	O	O	O
leurs	leur	DET	O	O	O
yeux	oeil	NOUN	O	O	O
,	,	PUNCT	O	O	O
dont	dont	PRON	O	O	O
la	le	DET	O	O	O
frayeur	frayeur	NOUN	O	O	O
pourtant	pourtant	ADV	O	O	O
décuplait	décupler	VERB	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
acuité	acuité	NOUN	O	O	O
,	,	PUNCT	O	O	O
ne	ne	ADV	O	O	O
pouvaient	pouvoir	VERB	O	O	O
parvenir	parvenir	VERB	O	O	O
à	à	ADP	O	O	O
percer	percer	VERB	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
ombre	ombre	NOUN	O	O	O
épaisse	épais	ADJ	O	O	O
qui	qui	PRON	O	O	O
les	le	PRON	O	O	O
enveloppait	envelopper	VERB	O	O	O
ainsi	ainsi	ADV	O	O	O
qu	qu	SCONJ	O	O	O
'	'	SCONJ	O	O	O
un	un	DET	O	O	O
suaire	suaire	NOUN	O	O	O
noir	noir	ADJ	O	O	O
;	;	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
ils	il	PRON	O	O	O
avaient	avoir	VERB	O	O	O
conscience	conscience	NOUN	O	O	O
que	que	SCONJ	O	O	O
les	le	DET	O	O	O
flots	flot	NOUN	O	O	O
rongeaient	ronger	VERB	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
île	île	NOUN	O	O	O
neigeuse	neigeux	ADJ	O	O	O
,	,	PUNCT	O	O	O
l	l	DET	O	O	O
'	'	PRON	O	O	O
attaquaient	attaquer	VERB	O	O	O
avec	avec	ADP	O	O	O
rage	rage	NOUN	O	O	O
,	,	PUNCT	O	O	O
comme	comme	ADP	O	O	O
des	un	DET	O	O	O
monstres	monstre	NOUN	O	O	O
carnassiers	carnassier	ADJ	O	O	O
attachés	attacher	VERB	O	O	O
à	à	ADP	O	O	O
un	un	DET	O	O	O
cadavre	cadavre	NOUN	O	O	O
auquel	auquel	PRON	O	O	O
chaque	chaque	DET	O	O	O
coup	coup	NOUN	O	O	O
de	de	ADP	O	O	O
dent	dent	NOUN	O	O	O
arrache	arracher	VERB	O	O	O
un	un	DET	O	O	O
lambeau	lambeau	NOUN	O	O	O
.	.	PUNCT	O	O	O

À	à	ADP	O	O	O
tout	tout	DET	O	O	O
moment	moment	NOUN	O	O	O
,	,	PUNCT	O	O	O
ils	il	PRON	O	O	O
s	s	PRON	O	O	O
'	'	PRON	O	O	O
attendaient	attendre	VERB	O	O	O
à	à	ADP	O	O	O
voir	voir	VERB	O	O	O
leur	son	DET	O	O	O
fragile	fragile	ADJ	O	O	O
radeau	radeau	NOUN	O	O	O
se	se	PRON	O	O	O
disloquer	disloquer	VERB	O	O	O
,	,	PUNCT	O	O	O
s	s	PRON	O	O	O
'	'	PRON	O	O	O
émietter	émietter	VERB	O	O	O
et	et	CCONJ	O	O	O
les	le	PRON	O	O	O
livrer	livrer	VERB	O	O	O
au	au	ADP	O	O	O
gouffre	gouffre	NOUN	O	O	O
.	.	PUNCT	O	O	O

Soudain	soudain	ADV	O	O	O
,	,	PUNCT	O	O	O
Farenheit	farenheit	PROPN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
avait	avoir	AUX	O	O	O
pu	pouvoir	VERB	O	O	O
se	se	PRON	O	O	O
traîner	traîner	VERB	O	O	O
jusqu	jusqu	ADP	O	O	O
'	'	ADP	O	O	O
à	à	ADP	O	O	O
une	un	DET	O	O	O
anfractuosité	anfractuosité	NOUN	O	O	O
de	de	ADP	O	O	O
rocher	rocher	NOUN	O	O	O
