Ceci	ceci	PRON	O	O	O
n'	ne	ADV	O	O	O
est	être	AUX	O	O	O
qu'	que	ADV	O	O	O
une	un	DET	O	O	O
manière	manière	NOUN	O	O	O
de	de	ADP	O	O	O
préface	préface	NOUN	O	O	O
et	et	CCONJ	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
les	le	DET	O	O	O
chapitres	chapitre	NOUN	O	O	O
qui	qui	PRON	O	O	O
suivront	suivre	VERB	O	O	O
,	,	PUNCT	O	O	O
ce	ce	PRON	O	O	O
n'	ne	ADV	O	O	O
est	être	AUX	O	O	O
pas	pas	ADV	O	O	O
moi	moi	PRON	O	O	O
qui	qui	PRON	O	O	O
raconterai	raconter	VERB	O	O	O
l'	le	DET	O	O	O
histoire	histoire	NOUN	O	O	O
.	.	PUNCT	O	O	O

Mais	mais	CCONJ	O	O	O
comme	comme	ADP	O	O	O
les	le	DET	O	O	O
révélations	révélation	NOUN	O	O	O
que	que	PRON	O	O	O
contient	contenir	VERB	O	O	O
ce	ce	DET	O	O	O
livre	livre	NOUN	O	O	O
vont	aller	VERB	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
encontre	encontre	NOUN	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
vieux	vieux	NOUN	O	O	O
préjugé	préjuger	VERB	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
orgueil	orgueil	NOUN	O	O	O
humain	humain	ADJ	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
serait	être	AUX	O	O	O
de	de	ADP	O	O	O
ma	mon	DET	O	O	O
part	part	NOUN	O	O	O
présomptueux	présomptueux	ADJ	O	O	O
de	de	ADP	O	O	O
ne	ne	ADV	O	O	O
point	point	NOUN	O	O	O
craindre	craindre	VERB	O	O	O
que	que	SCONJ	O	O	O
le	le	DET	O	O	O
premier	premier	ADJ	O	O	O
mouvement	mouvement	NOUN	O	O	O
ne	ne	ADV	O	O	O
portât	portât	ADJ	O	O	O
le	le	DET	O	O	O
public	public	NOUN	O	O	O
à	à	ADP	O	O	O
ne	ne	ADV	O	O	O
voir	voir	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
Peuple	peuple	NOUN	O	O	O
du	de	ADP	O	O	O
Pôle	pôle	NOUN	O	O	O
qu'	que	SCONJ	O	O	O
une	un	DET	O	O	O
imagination	imagination	NOUN	O	O	O
de	de	ADP	O	O	O
poète	poète	ADJ	O	O	O
ou	ou	CCONJ	O	O	O
un	un	DET	O	O	O
jeu	jeu	NOUN	O	O	O
de	de	ADP	O	O	O
romancier	romancier	PROPN	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
veux	vouloir	VERB	O	O	O
donc	donc	ADV	O	O	O
avant	avant	ADP	O	O	O
tout	tout	ADV	O	O	O
indiquer	indiquer	VERB	O	O	O
mes	mon	DET	O	O	O
sources	source	NOUN	O	O	O
,	,	PUNCT	O	O	O
exposer	exposer	VERB	O	O	O
d'	de	ADP	O	O	O
où	où	PRON	O	O	O
vient	venir	VERB	O	O	O
le	le	DET	O	O	O
récit	récit	NOUN	O	O	O
