Aujourd	aujourd	ADV	O	O	O
'	'	PUNCT	O	O	O
hui	hui	ADV	O	O	O
,	,	PUNCT	O	O	O
20	20	NUM	O	O	O
janvier	janvier	NOUN	O	O	O
1909	1909	NUM	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
me	me	PRON	O	O	O
résous	résoudre	VERB	O	O	O
,	,	PUNCT	O	O	O
non	non	ADV	O	O	O
sans	sans	ADP	O	O	O
trouble	trouble	NOUN	O	O	O
et	et	CCONJ	O	O	O
non	non	ADV	O	O	O
sans	sans	ADP	O	O	O
terreur	terreur	NOUN	O	O	O
,	,	PUNCT	O	O	O
k	k	ADV	O	O	O
écrire	écrire	VERB	O	O	O
le	le	DET	O	O	O
récit	récit	NOUN	O	O	O
exact	exact	ADJ	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
'	'	PUNCT	O	O	O
Aventure	aventure	NOUN	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
m	m	PRON	O	O	O
'	'	PRON	O	O	O
y	y	PRON	O	O	O
résous	résoudre	VERB	O	O	O
,	,	PUNCT	O	O	O
parce	parce	SCONJ	O	O	O
que	que	SCONJ	O	O	O
,	,	PUNCT	O	O	O
après	après	ADP	O	O	O
-	-	NOUN	O	O	O
demain	demain	ADV	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
serai	être	AUX	O	O	O
mort	mort	ADJ	O	O	O
.	.	PUNCT	O	O	O

Après	après	ADP	O	O	O
-	-	PUNCT	O	O	O
demain	demain	ADV	O	O	O
,	,	PUNCT	O	O	O
oui	oui	ADV	O	O	O
.	.	PUNCT	O	O	O

Après	après	ADP	O	O	O
-	-	NOUN	O	O	O
demain	demain	ADV	O	O	O
,	,	PUNCT	O	O	O
sûrement	sûrement	ADV	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Mort	mort	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Mort	mort	NOUN	O	O	O
de	de	ADP	O	O	O
vieillesse	vieillesse	NOUN	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
le	le	PRON	O	O	O
sens	sentir	VERB	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
le	le	PRON	O	O	O
sais	savoir	VERB	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
risque	risque	VERB	O	O	O
donc	donc	ADV	O	O	O
plus	plus	ADV	O	O	O
grand	grand	ADJ	O	O	O
'	'	PUNCT	O	O	O
chose	chose	NOUN	O	O	O
à	à	ADP	O	O	O
rompre	rompre	VERB	O	O	O
le	le	DET	O	O	O
silence	silence	NOUN	O	O	O
.	.	PUNCT	O	O	O

Et	et	CCONJ	O	O	O
je	je	PRON	O	O	O
crois	croire	VERB	O	O	O
en	en	ADP	O	O	O
vérité	vérité	NOUN	O	O	O
qu	qu	SCONJ	O	O	O
'	'	SCONJ	O	O	O
il	il	PRON	O	O	O
faut	falloir	VERB	O	O	O
le	le	PRON	O	O	O
rompre	rompre	VERB	O	O	O
,	,	PUNCT	O	O	O
pour	pour	ADP	O	O	O
le	le	DET	O	O	O
repos	repos	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
paix	paix	NOUN	O	O	O
et	et	CCONJ	O	O	O
la	le	DET	O	O	O
sécurité	sécurité	NOUN	O	O	O
de	de	ADP	O	O	O
tous	tout	ADJ	O	O	O
les	le	DET	O	O	O
hommes	homme	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
toutes	tout	ADJ	O	O	O
les	le	DET	O	O	O
femmes	femme	NOUN	O	O	O
,	,	PUNCT	O	O	O
ignorants	ignorant	ADJ	O	O	O
et	et	CCONJ	O	O	O
menacés	menacer	VERB	O	O	O
.	.	PUNCT	O	O	O

Moi	moi	PRON	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
compte	compte	VERB	O	O	O
plus	plus	ADV	O	O	O
.	.	PUNCT	O	O	O

Après	après	ADP	O	O	O
-	-	NOUN	O	O	O
demain	demain	ADV	O	O	O
je	je	PRON	O	O	O
serai	être	AUX	O	O	O
mort	mourir	VERB	O	O	O
.	.	PUNCT	O	O	O

Ceci	ceci	PRON	O	O	O
est	être	AUX	O	O	O
donc	donc	ADV	O	O	O
proprement	proprement	ADV	O	O	O
mon	mon	DET	O	O	O
testament	testament	NOUN	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
mon	mon	DET	O	O	O
testament	testament	NOUN	O	O	O
olographe	olographe	ADJ	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
lègue	léguer	VERB	O	O	O
à	à	ADP	O	O	O
tous	tout	ADJ	O	O	O
les	le	DET	O	O	O
hommes	homme	NOUN	O	O	O
et	et	CCONJ	O	O	O
à	à	ADP	O	O	O
toutes	tout	ADJ	O	O	O
les	le	DET	O	O	O
femmes	femme	NOUN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
furent	être	AUX	O	O	O
mes	mon	DET	O	O	O
frères	frère	NOUN	O	O	O
et	et	CCONJ	O	O	O
mes	mon	DET	O	O	O
soeurs	soeur	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
divulgation	divulgation	NOUN	O	O	O
du	de	ADP	O	O	O
Secret	secret	NOUN	O	O	O
.	.	PUNCT	O	O	O

Que	que	SCONJ	O	O	O
ma	mon	DET	O	O	O
vieillesse	vieillesse	NOUN	O	O	O
et	et	CCONJ	O	O	O
que	que	SCONJ	O	O	O
ma	mon	DET	O	O	O
mort	mort	NOUN	O	O	O
servent	servir	VERB	O	O	O
d	d	ADP	O	O	O
'	'	PUNCT	O	O	O
avertissement	avertissement	NOUN	O	O	O
.	.	PUNCT	O	O	O

Telle	tel	ADJ	O	O	O
est	être	AUX	O	O	O
ma	mon	DET	O	O	O
dernière	dernier	ADJ	O	O	O
volonté	volonté	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
faut	falloir	VERB	O	O	O
d	d	ADP	O	O	O
abord	abord	NOUN	O	O	O
qu	qu	SCONJ	O	O	O
on	on	PRON	O	O	O
le	le	PRON	O	O	O
sache	savoir	VERB	O	O	O
:	:	PUNCT	O	O	O
je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
suis	être	AUX	O	O	O
pas	pas	ADV	O	O	O
fou	fou	ADJ	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
suis	être	AUX	O	O	O
irréprochablement	irréprochablement	ADV	O	O	O
sain	sain	ADJ	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
esprit	esprit	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
même	même	ADV	O	O	O
de	de	ADP	O	O	O
corps	corps	NOUN	O	O	O
,	,	PUNCT	O	O	O
puisque	puisque	SCONJ	O	O	O
je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
suis	être	AUX	O	O	O
malade	malade	ADJ	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
aucune	aucun	DET	O	O	O
maladie	maladie	NOUN	O	O	O
;	;	PUNCT	O	O	O
—	—	PUNCT	O	O	O
vieux	vieux	ADJ	O	O	O
seulement	seulement	ADV	O	O	O
,	,	PUNCT	O	O	O
vieux	vieux	ADJ	O	O	O
au	au	ADP	O	O	O
delà	delà	ADV	O	O	O
de	de	ADP	O	O	O
toutes	tout	ADJ	O	O	O
les	le	DET	O	O	O
vieillesses	vieillesse	NOUN	O	O	O
humaines	humain	ADJ	O	O	O
.	.	PUNCT	O	O	O

J	j	PRON	O	O	O
ai	avoir	VERB	O	O	O
—	—	PUNCT	O	O	O
combien	combien	PRON	O	O	O
?	?	PUNCT	O	O	O

—	—	PUNCT	O	O	O
quatre	quatre	NUM	O	O	O
-	-	NUM	O	O	O
vingts	vingts	PRON	O	O	O
?	?	PUNCT	O	O	O

cent	cent	NUM	O	O	O
?	?	PUNCT	O	O	O

cent	cent	NUM	O	O	O
vingt	vingt	NUM	O	O	O
ans	an	NOUN	O	O	O
?	?	PUNCT	O	O	O

Je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
sais	savoir	VERB	O	O	O
au	au	ADP	O	O	O
juste	juste	ADV	O	O	O
,	,	PUNCT	O	O	O
11	11	NUM	O	O	O
n	ne	ADV	O	O	O
'	'	ADV	O	O	O
existe	exister	VERB	O	O	O
rien	rien	PRON	O	O	O
qui	qui	PRON	O	O	O
puisse	pouvoir	VERB	O	O	O
fixer	fixer	VERB	O	O	O
mon	mon	DET	O	O	O
sentiment	sentiment	NOUN	O	O	O
là	là	ADV	O	O	O
-	-	PRON	O	O	O
dessus	dessus	ADV	O	O	O
:	:	PUNCT	O	O	O
ni	ni	CCONJ	O	O	O
preuves	preuve	NOUN	O	O	O
écrites	écrire	VERB	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
actes	acte	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
état	état	NOUN	O	O	O
civil	civil	ADJ	O	O	O
ou	ou	CCONJ	O	O	O
autres	autre	ADJ	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
ni	ni	CCONJ	O	O	O
souvenirs	souvenir	NOUN	O	O	O
,	,	PUNCT	O	O	O
ni	ni	CCONJ	O	O	O
témoignages	témoignage	NOUN	O	O	O
d	d	ADP	O	O	O
aucune	aucun	DET	O	O	O
sorte	sorte	NOUN	O	O	O
.	.	PUNCT	O	O	O

Même	même	ADV	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
puis	pouvoir	VERB	O	O	O
pas	pas	ADV	O	O	O
apprécier	apprécier	VERB	O	O	O
mon	mon	DET	O	O	O
âge	âge	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
après	après	ADP	O	O	O
mes	mon	DET	O	O	O
sensations	sensation	NOUN	O	O	O
de	de	ADP	O	O	O
vieillard	vieillard	NOUN	O	O	O
.	.	PUNCT	O	O	O

Car	car	CCONJ	O	O	O
je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
suis	être	AUX	O	O	O
vieux	vieux	ADJ	O	O	O
que	que	ADV	O	O	O
depuis	depuis	ADP	O	O	O
trop	trop	ADV	O	O	O
peu	peu	ADV	O	O	O
de	de	ADP	O	O	O
jours	jour	NOUN	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
n	ne	ADV	O	O	O
'	'	ADV	O	O	O
ai	avoir	AUX	O	O	O
pas	pas	ADV	O	O	O
eu	avoir	VERB	O	O	O
le	le	DET	O	O	O
temps	temps	NOUN	O	O	O
de	de	ADP	O	O	O
m	m	PRON	O	O	O
'	'	PRON	O	O	O
habituer	habituer	VERB	O	O	O
à	à	ADP	O	O	O
ce	ce	DET	O	O	O
changement	changement	NOUN	O	O	O
soudain	soudain	ADV	O	O	O
.	.	PUNCT	O	O	O

Et	et	CCONJ	O	O	O
toute	tout	DET	O	O	O
comparaison	comparaison	NOUN	O	O	O
m	m	PRON	O	O	O
'	'	PRON	O	O	O
est	être	AUX	O	O	O
impossible	impossible	ADJ	O	O	O
entre	entrer	ADP	O	O	O
ma	mon	DET	O	O	O
vieillesse	vieillesse	NOUN	O	O	O
