MINE	mine	NOUN	O	O	O
D'	de	ADP	O	O	O
OR	or	NOUN	O	O	O
INFERNALE	infernal	ADJ	O	O	O
PREMIÈRE	premier	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
I	i	ADJ	O	O	O
QUI	qui	PRON	O	O	O
PEUT	pouvoir	VERB	O	O	O
SERVIR	servir	VERB	O	O	O
DE	de	ADP	O	O	O
PROLOGUE	prologue	NOUN	O	O	O

ON	on	PRON	O	O	O
A	avoir	AUX	O	O	O
SOUVENT	souvent	ADV	O	O	O
BESOIN	besoin	NOUN	O	O	O
D'	de	ADP	O	O	O
UN	un	DET	O	O	O
PLUS	plus	ADV	O	O	O
PETIT	petit	ADJ	O	O	O
QUE	que	SCONJ	O	O	O
SOI	soi	X	O	O	O

Le	le	DET	O	O	O
12	12	NUM	O	O	O
octobre	octobre	NOUN	O	O	O
1914	1914	NUM	O	O	O
,	,	PUNCT	O	O	O
M.	m.	NOUN	O	O	O
Léon	léon	PROPN	O	O	O
Bécourt	bécourt	PROPN	O	O	O
,	,	PUNCT	O	O	O
directeur	directeur	NOUN	O	O	O
du	de	ADP	O	O	O
service	service	NOUN	O	O	O
des	de	ADP	O	O	O
Missions	mission	NOUN	O	O	O
au	au	ADP	O	O	O
ministère	ministère	NOUN	O	O	O
...	...	PUNCT	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
disons	dire	VERB	O	O	O
au	au	ADP	O	O	O
ministère	ministère	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Expansion	expansion	NOUN	O	O	O
coloniale	colonial	ADJ	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
M.	m.	NOUN	O	O	O
Léon	léon	PROPN	O	O	O
Bécourt	bécourt	PROPN	O	O	O
,	,	PUNCT	O	O	O
donc	donc	ADV	O	O	O
,	,	PUNCT	O	O	O
quitta	quitter	VERB	O	O	O
son	son	DET	O	O	O
bureau	bureau	NOUN	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
heure	heure	NOUN	O	O	O
habituelle	habituel	ADJ	O	O	O
,	,	PUNCT	O	O	O
6	6	NUM	O	O	O
heures	heure	NOUN	O	O	O
et	et	CCONJ	O	O	O
demie	demie	NOUN	O	O	O
du	de	ADP	O	O	O
soir	soir	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
était	être	AUX	O	O	O
en	en	ADP	O	O	O
jaquette	jaquette	NOUN	O	O	O
noire	noir	ADJ	O	O	O
et	et	CCONJ	O	O	O
en	en	ADP	O	O	O
chapeau	chapeau	NOUN	O	O	O
rond	rond	ADJ	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
portait	porter	VERB	O	O	O
un	un	DET	O	O	O
parapluie	parapluie	NOUN	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
lendemain	lendemain	NOUN	O	O	O
,	,	PUNCT	O	O	O
13	13	NUM	O	O	O
octobre	octobre	NOUN	O	O	O
,	,	PUNCT	O	O	O
également	également	ADV	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
heure	heure	NOUN	O	O	O
habituelle	habituel	ADJ	O	O	O
,	,	PUNCT	O	O	O
9	9	NUM	O	O	O
heures	heure	NOUN	O	O	O
et	et	CCONJ	O	O	O
demie	demie	NOUN	O	O	O
du	de	ADP	O	O	O
matin	matin	NOUN	O	O	O
,	,	PUNCT	O	O	O
M.	m.	NOUN	O	O	O
Léon	léon	PROPN	O	O	O
Bécourt	bécourt	PROPN	O	O	O
arriva	arriver	VERB	O	O	O
à	à	ADP	O	O	O
son	son	DET	O	O	O
bureau	bureau	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
était	être	AUX	O	O	O
en	en	ADP	O	O	O
uniforme	uniforme	NOUN	O	O	O
militaire	militaire	ADJ	O	O	O
,	,	PUNCT	O	O	O
arborait	arborer	VERB	O	O	O
les	le	DET	O	O	O
galons	galon	NOUN	O	O	O
de	de	ADP	O	O	O
commandant	commandant	NOUN	O	O	O
et	et	CCONJ	O	O	O
portait	porter	VERB	O	O	O
un	un	DET	O	O	O
sabre	sabre	NOUN	O	O	O
.	.	PUNCT	O	O	O

Son	son	DET	O	O	O
huissier	huissier	NOUN	O	O	O
,	,	PUNCT	O	O	O
un	un	DET	O	O	O
ancien	ancien	ADJ	O	O	O
soldat	soldat	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
armée	armée	NOUN	O	O	O
coloniale	colonial	ADJ	O	O	O
,	,	PUNCT	O	O	O
ne	ne	ADV	O	O	O
le	le	PRON	O	O	O
reconnut	reconnaître	VERB	O	O	O
pas	pas	ADV	O	O	O
au	au	ADP	O	O	O
premier	premier	ADJ	O	O	O
abord	abord	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
quand	quand	SCONJ	O	O	O
il	il	PRON	O	O	O
eut	avoir	AUX	O	O	O
constaté	constater	VERB	O	O	O
que	que	SCONJ	O	O	O
c'	ce	PRON	O	O	O
était	être	AUX	O	O	O
bien	bien	ADV	O	O	O
là	là	ADV	O	O	O
son	son	DET	O	O	O
chef	chef	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
s'	se	PRON	O	O	O
effaça	effacer	VERB	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
petit	petit	ADJ	O	O	O
doigt	doigt	NOUN	O	O	O
sur	sur	ADP	O	O	O
la	le	DET	O	O	O
couture	couture	NOUN	O	O	O
de	de	ADP	O	O	O
son	son	DET	O	O	O
pantalon	pantalon	NOUN	O	O	O
noir	noir	ADJ	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
fit	faire	VERB	O	O	O
le	le	DET	O	O	O
salut	salut	NOUN	O	O	O
militaire	militaire	ADJ	O	O	O
.	.	PUNCT	O	O	O

M.	m.	NOUN	O	O	O
Bécourt	bécourt	PROPN	O	O	O
lui	luire	PRON	O	O	O
rendit	rendre	VERB	O	O	O
son	son	DET	O	O	O
salut	salut	NOUN	O	O	O
,	,	PUNCT	O	O	O
souriant	sourire	VERB	O	O	O
de	de	ADP	O	O	O
plaisir	plaisir	NOUN	O	O	O
.	.	PUNCT	O	O	O

Cette	ce	DET	O	O	O
première	premier	ADJ	O	O	O
«	«	PUNCT	O	O	O
marque	marque	NOUN	O	O	O
extérieure	extérieur	ADJ	O	O	O
de	de	ADP	O	O	O
respect	respect	NOUN	O	O	O
»	»	PUNCT	O	O	O
militaire	militaire	ADJ	O	O	O
avait	avoir	AUX	O	O	O
fait	faire	AUX	O	O	O
vibrér	vibrér	VERB	O	O	O
en	en	ADP	O	O	O
lui	luire	PRON	O	O	O
ses	son	DET	O	O	O
anciens	ancien	ADJ	O	O	O
souvenirs	souvenir	NOUN	O	O	O
d'	de	ADP	O	O	O
officier	officier	NOUN	O	O	O
explorateur	explorateur	ADJ	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
entra	entrer	VERB	O	O	O
dans	dans	ADP	O	O	O
son	son	DET	O	O	O
cabinet	cabinet	NOUN	O	O	O
et	et	CCONJ	O	O	O
appela	appeler	VERB	O	O	O
le	le	DET	O	O	O
plus	plus	ADV	O	O	O
ancien	ancien	ADJ	O	O	O
de	de	ADP	O	O	O
ses	son	DET	O	O	O
chefs	chef	NOUN	O	O	O
de	de	ADP	O	O	O
bureau	bureau	NOUN	O	O	O
.	.	PUNCT	O	O	O

Ayant	avoir	AUX	O	O	O
demandé	demander	VERB	O	O	O
,	,	PUNCT	O	O	O
dès	dès	ADP	O	O	O
l'	le	DET	O	O	O
ouverture	ouverture	NOUN	O	O	O
des	de	ADP	O	O	O
hostilités	hostilité	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
reprendre	reprendre	VERB	O	O	O
sa	son	DET	O	O	O
place	place	NOUN	O	O	O
dans	dans	ADP	O	O	O
l'	le	DET	O	O	O
armée	armée	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
avait	avoir	AUX	O	O	O
obtenu	obtenir	VERB	O	O	O
satisfaction	satisfaction	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
devait	devoir	VERB	O	O	O
partir	partir	VERB	O	O	O
le	le	DET	O	O	O
soir	soir	NOUN	O	O	O
même	même	ADV	O	O	O
pour	pour	ADP	O	O	O
rejoindre	rejoindre	VERB	O	O	O
son	son	DET	O	O	O
poste	poste	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
il	il	PRON	O	O	O
allait	aller	VERB	O	O	O
consacrer	consacrer	VERB	O	O	O
cette	ce	DET	O	O	O
dernière	dernier	ADJ	O	O	O
journée	journée	NOUN	O	O	O
à	à	ADP	O	O	O
donner	donner	VERB	O	O	O
à	à	ADP	O	O	O
celui	celui	PRON	O	O	O
de	de	ADP	O	O	O
