seoir	seoir	PROPN	O	O	O

sous	sou	ADP	O	O	O
un	un	DET	O	O	O
arbre	arbre	NOUN	O	O	O
en	en	ADP	O	O	O
face	face	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
statue	statue	NOUN	O	O	O
de	de	ADP	O	O	O
Louis	louis	PROPN	O	O	O
XIII	xiii	ADJ	O	O	O

,	,	PUNCT	O	O	O

et	et	CCONJ	O	O	O
il	il	PRON	O	O	O
ne	ne	ADV	O	O	O
tarde	tarder	VERB	O	O	O
point	point	ADV	O	O	O
à	à	ADP	O	O	O
se	se	PRON	O	O	O
voir	voir	AUX	O	O	O
entouré	entourer	VERB	O	O	O
par	par	ADP	O	O	O
une	un	DET	O	O	O
bande	bande	NOUN	O	O	O
d'	de	ADP	O	O	O
enfants	enfant	NOUN	O	O	O
.	.	PUNCT	O	O	O

Quand	quand	SCONJ	O	O	O
,	,	PUNCT	O	O	O
plongé	plonger	VERB	O	O	O
dans	dans	ADP	O	O	O
ses	son	DET	O	O	O
rêveries	rêverie	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
n'	ne	ADV	O	O	O
appelle	appeler	VERB	O	O	O
point	point	NOUN	O	O	O
de	de	ADP	O	O	O
suite	suite	NOUN	O	O	O
,	,	PUNCT	O	O	O
par	par	ADP	O	O	O
un	un	DET	O	O	O
signe	signe	NOUN	O	O	O
de	de	ADP	O	O	O
tête	tête	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
marchandes	marchand	NOUN	O	O	O
de	de	ADP	O	O	O
gâteaux	gâteau	NOUN	O	O	O
,	,	PUNCT	O	O	O
celles	celui	PRON	O	O	O
-	-	PRON	O	O	O
ci	ci	PRON	O	O	O
,	,	PUNCT	O	O	O
leur	son	DET	O	O	O
panier	panier	NOUN	O	O	O
au	au	ADP	O	O	O
bras	bras	NOUN	O	O	O
,	,	PUNCT	O	O	O
rôdent	rôder	VERB	O	O	O
autour	autour	ADV	O	O	O
de	de	ADP	O	O	O
lui	luire	PRON	O	O	O
et	et	CCONJ	O	O	O
exhibent	exhiber	VERB	O	O	O
perfidement	perfidement	ADV	O	O	O
,	,	PUNCT	O	O	O
sous	sou	ADP	O	O	O
les	le	DET	O	O	O
yeux	oeil	NOUN	O	O	O
de	de	ADP	O	O	O
tout	tout	ADJ	O	O	O
ce	ce	DET	O	O	O
petit	petit	ADJ	O	O	O
monde	monde	NOUN	O	O	O
si	si	ADV	O	O	O
facile	facile	ADJ	O	O	O
à	à	ADP	O	O	O
induire	induire	VERB	O	O	O
en	en	ADP	O	O	O
convoitise	convoitise	NOUN	O	O	O
,	,	PUNCT	O	O	O
des	un	DET	O	O	O
tas	tas	NOUN	O	O	O
de	de	ADP	O	O	O
jouets	jouet	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
pâtisseries	pâtisserie	NOUN	O	O	O
.	.	PUNCT	O	O	O

Alors	alors	ADV	O	O	O
le	le	DET	O	O	O
grand	grand	ADJ	O	O	O
vieillard	vieillard	NOUN	O	O	O
,	,	PUNCT	O	O	O
comme	comme	ADP	O	O	O
éveillé	éveiller	VERB	O	O	O
en	en	ADP	O	O	O
sursaut	sursaut	NOUN	O	O	O
,	,	PUNCT	O	O	O
ouvre	ouvrir	VERB	O	O	O
les	le	DET	O	O	O
yeux	oeil	NOUN	O	O	O
,	,	PUNCT	O	O	O
relève	relever	VERB	O	O	O
la	le	DET	O	O	O
tête	tête	NOUN	O	O	O
et	et	CCONJ	O	O	O
sourit	sourire	VERB	O	O	O
.	.	PUNCT	O	O	O

Aussitôt	aussitôt	ADV	O	O	O
les	le	DET	O	O	O
marchandes	marchand	NOUN	O	O	O
accourent	accourir	VERB	O	O	O
,	,	PUNCT	O	O	O
non	non	ADV	O	O	O
sans	sans	ADP	O	O	O
lui	luire	PRON	O	O	O
faire	faire	VERB	O	O	O
une	un	DET	O	O	O
de	de	ADP	O	O	O
leurs	leur	DET	O	O	O
plus	plus	ADV	O	O	O
belles	bel	ADJ	O	O	O
révérences	révérence	NOUN	O	O	O
et	et	CCONJ	O	O	O
non	non	ADV	O	O	O
sans	sans	ADP	O	O	O
le	le	PRON	O	O	O
saluer	saluer	VERB	O	O	O
de	de	ADP	O	O	O
bonnes	bon	ADJ	O	O	O
paroles	parole	NOUN	O	O	O
;	;	PUNCT	O	O	O

car	car	CCONJ	O	O	O
plus	plus	ADV	O	O	O
d'	de	ADP	O	O	O
une	un	PRON	O	O	O
d'	de	ADP	O	O	O
entre	entrer	ADP	O	O	O
elles	lui	PRON	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
les	le	DET	O	O	O
jours	jour	NOUN	O	O	O
d'	de	ADP	O	O	O
épreuves	épreuve	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
maladie	maladie	NOUN	O	O	O
,	,	PUNCT	O	O	O
a	avoir	AUX	O	O	O
reçu	recevoir	VERB	O	O	O
les	le	DET	O	O	O
consolations	consolation	NOUN	O	O	O
et	et	CCONJ	O	O	O
les	le	DET	O	O	O
secours	secours	NOUN	O	O	O
du	de	ADP	O	O	O
docteur	docteur	NOUN	O	O	O
