Ceci	ceci	PRON	O	O	O
n	ne	ADV	O	O	O
'	'	ADV	O	O	O
est	être	AUX	O	O	O
qu	qu	ADV	O	O	O
'	'	ADV	O	O	O
une	un	DET	O	O	O
manière	manière	NOUN	O	O	O
de	de	ADP	O	O	O
préface	préface	NOUN	O	O	O
et	et	CCONJ	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
les	le	DET	O	O	O
chapitres	chapitre	NOUN	O	O	O
qui	qui	PRON	O	O	O
suivront	suivre	VERB	O	O	O
,	,	PUNCT	O	O	O
ce	ce	PRON	O	O	O
n	ne	ADV	O	O	O
'	'	ADV	O	O	O
est	être	AUX	O	O	O
pas	pas	ADV	O	O	O
moi	moi	PRON	O	O	O
qui	qui	PRON	O	O	O
raconterai	raconter	VERB	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
histoire	histoire	NOUN	O	O	O
.	.	PUNCT	O	O	O

Mais	mais	CCONJ	O	O	O
comme	comme	SCONJ	O	O	O
les	le	DET	O	O	O
révélations	révélation	NOUN	O	O	O
que	que	PRON	O	O	O
contient	contenir	VERB	O	O	O
ce	ce	DET	O	O	O
livre	livre	NOUN	O	O	O
vont	aller	VERB	O	O	O
à	à	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
encontre	encontre	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
un	un	DET	O	O	O
vieux	vieux	ADJ	O	O	O
préjugé	préjugé	NOUN	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
orgueil	orgueil	NOUN	O	O	O
humain	humain	ADJ	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
serait	être	AUX	O	O	O
de	de	ADP	O	O	O
ma	mon	DET	O	O	O
part	part	NOUN	O	O	O
présomptueux	présomptueux	ADJ	O	O	O
de	de	ADP	O	O	O
ne	ne	ADV	O	O	O
point	point	ADV	O	O	O
craindre	craindre	VERB	O	O	O
que	que	SCONJ	O	O	O
le	le	DET	O	O	O
premier	premier	ADJ	O	O	O
mouvement	mouvement	NOUN	O	O	O
ne	ne	ADV	O	O	O
portât	porter	VERB	O	O	O
le	le	DET	O	O	O
public	public	NOUN	O	O	O
à	à	ADP	O	O	O
ne	ne	ADV	O	O	O
voir	voir	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
Peuple	peuple	NOUN	O	O	O
du	de	ADP	O	O	O
Pôle	pôle	NOUN	O	O	O
qu	qu	ADV	O	O	O
'	'	ADV	O	O	O
une	un	DET	O	O	O
imagination	imagination	NOUN	O	O	O
de	de	ADP	O	O	O
poète	poète	NOUN	O	O	O
ou	ou	CCONJ	O	O	O
un	un	DET	O	O	O
jeu	jeu	NOUN	O	O	O
de	de	ADP	O	O	O
romancier	romancier	NOUN	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
veux	vouloir	VERB	O	O	O
donc	donc	ADV	O	O	O
avant	avant	ADP	O	O	O
tout	tout	ADV	O	O	O
indiquer	indiquer	VERB	O	O	O
mes	mon	DET	O	O	O
sources	source	NOUN	O	O	O
,	,	PUNCT	O	O	O
exposer	exposer	VERB	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
où	où	PRON	O	O	O
vient	venir	VERB	O	O	O
le	le	DET	O	O	O
récit	récit	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
qui	qui	PRON	O	O	O
je	je	PRON	O	O	O
le	le	PRON	O	O	O
tiens	tenir	VERB	O	O	O
.	.	PUNCT	O	O	O

Au	au	ADP	O	O	O
reste	reste	NOUN	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
demande	demande	VERB	O	O	O
point	point	ADV	O	O	O
qu	qu	SCONJ	O	O	O
'	'	SCONJ	O	O	O
on	on	PRON	O	O	O
l	l	PRON	O	O	O
'	'	PRON	O	O	O
accepte	accepter	VERB	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
prime	prime	ADJ	O	O	O
abord	abord	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
yeux	oeil	NOUN	O	O	O
fermés	fermé	ADJ	O	O	O
;	;	PUNCT	O	O	O
je	je	PRON	O	O	O
me	me	PRON	O	O	O
tiendrai	tenir	VERB	O	O	O
pour	pour	ADP	O	O	O
satisfait	satisfait	ADJ	O	O	O
si	si	SCONJ	O	O	O
les	le	DET	O	O	O
lecteurs	lecteur	NOUN	O	O	O
partagent	partager	VERB	O	O	O
les	le	DET	O	O	O
sentiments	sentiment	NOUN	O	O	O
successifs	successif	ADJ	O	O	O
que	que	PRON	O	O	O
j	j	PRON	O	O	O
'	'	PUNCT	O	O	O
éprouvai	éprouver	VERB	O	O	O
moi	moi	PRON	O	O	O
-	-	PRON	O	O	O
même	même	PRON	O	O	O
et	et	CCONJ	O	O	O
qui	qui	PRON	O	O	O
furent	être	AUX	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
incrédulité	incrédulité	NOUN	O	O	O
,	,	PUNCT	O	O	O
puis	pouvoir	CCONJ	O	O	O
la	le	DET	O	O	O
stupéfaction	stupéfaction	NOUN	O	O	O
,	,	PUNCT	O	O	O
puis	pouvoir	CCONJ	O	O	O
la	le	DET	O	O	O
persuasion	persuasion	NOUN	O	O	O
que	que	SCONJ	O	O	O
ce	ce	PRON	O	O	O
que	que	PRON	O	O	O
je	je	PRON	O	O	O
venais	venir	VERB	O	O	O
de	de	ADP	O	O	O
lire	lire	VERB	O	O	O
était	être	AUX	O	O	O
possible	possible	ADJ	O	O	O
,	,	PUNCT	O	O	O
puis	pouvoir	CCONJ	O	O	O
la	le	DET	O	O	O
certitude	certitude	NOUN	O	O	O
qu	qu	SCONJ	O	O	O
'	'	SCONJ	O	O	O
il	il	PRON	O	O	O
n	ne	ADV	O	O	O
'	'	ADV	O	O	O
existait	exister	VERB	O	O	O
pas	pas	ADV	O	O	O
de	de	DET	O	O	O
raison	raison	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
en	en	PRON	O	O	O
douter	douter	VERB	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
est	être	AUX	O	O	O
un	un	DET	O	O	O
axiome	axiome	NOUN	O	O	O
qu	que	PRON	O	O	O
'	'	PRON	O	O	O
il	il	PRON	O	O	O
faut	falloir	VERB	O	O	O
énoncer	énoncer	VERB	O	O	O
avant	avant	ADP	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
aller	aller	VERB	O	O	O
plus	plus	ADV	O	O	O
loin	loin	ADV	O	O	O
puisqu	puisqu	SCONJ	O	O	O
'	'	SCONJ	O	O	O
il	il	PRON	O	O	O
marque	marque	VERB	O	O	O
dans	dans	ADP	O	O	O
