I	i	NOUN	O	O	O
L	l	DET	O	O	O
'	'	DET	O	O	O
OASIS	oasis	NOUN	O	O	O
DE	de	ADP	O	O	O
GABÈS	gabès	PROPN	O	O	O
«	«	PUNCT	O	O	O
Que	que	PRON	O	O	O
sais	savoir	VERB	O	O	O
-	-	PRON	O	O	O
tu	tu	PRON	O	O	O
?	?	PUNCT	O	O	O

…	…	PUNCT	O	O	O
–	–	PUNCT	O	O	O
Je	je	PRON	O	O	O
sais	savoir	VERB	O	O	O
ce	ce	PRON	O	O	O
que	que	PRON	O	O	O
j	j	PRON	O	O	O
'	'	PRON	O	O	O
ai	avoir	AUX	O	O	O
entendu	entendre	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
port	port	NOUN	O	O	O
…	…	PUNCT	O	O	O
–	–	PUNCT	O	O	O
On	on	PRON	O	O	O
parlait	parler	VERB	O	O	O
du	de	ADP	O	O	O
navire	navire	NOUN	O	O	O
qui	qui	PRON	O	O	O
vient	venir	VERB	O	O	O
chercher	chercher	VERB	O	O	O
…	…	PUNCT	O	O	O
qui	qui	PRON	O	O	O
emmènera	emmener	VERB	O	O	O
Hadjar	hadjar	PROPN	O	O	O
?	?	PUNCT	O	O	O

…	…	PUNCT	O	O	O
–	–	PUNCT	O	O	O
Oui	oui	ADV	O	O	O
…	…	PUNCT	O	O	O
à	à	ADP	O	O	O
Tunis	tunis	PROPN	O	O	O
,	,	PUNCT	O	O	O
où	où	PRON	O	O	O
il	il	PRON	O	O	O
sera	être	AUX	O	O	O
jugé	juger	VERB	O	O	O
…	…	PUNCT	O	O	O
–	–	PUNCT	O	O	O
Et	et	CCONJ	O	O	O
condamné	condamner	VERB	O	O	O
?	?	PUNCT	O	O	O

…	…	PUNCT	O	O	O
–	–	PUNCT	O	O	O
Condamné	condamner	VERB	O	O	O
.	.	PUNCT	O	O	O

–	–	PUNCT	O	O	O
Allah	allah	PROPN	O	O	O
ne	ne	ADV	O	O	O
le	le	PRON	O	O	O
permettra	permettre	VERB	O	O	O
pas	pas	ADV	O	O	O
,	,	PUNCT	O	O	O
Sohar	sohar	PROPN	O	O	O
!	!	PUNCT	O	O	O

…	…	PUNCT	O	O	O
Non	non	ADV	O	O	O
!	!	PUNCT	O	O	O

il	il	PRON	O	O	O
ne	ne	ADV	O	O	O
le	le	PRON	O	O	O
permet	permettre	VERB	O	O	O
-	-	PRON	O	O	O
tra	tra	PRON	O	O	O
pas	pas	ADV	O	O	O
!	!	PUNCT	O	O	O

…	…	PUNCT	O	O	O
–	–	PUNCT	O	O	O
Silence	silence	NOUN	O	O	O
…	…	PUNCT	O	O	O
»	»	PUNCT	O	O	O
dit	dire	VERB	O	O	O
vivement	vivement	ADV	O	O	O
Sohar	sohar	PROPN	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
prêtant	prêter	VERB	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
oreille	oreille	NOUN	O	O	O
comme	comme	ADP	O	O	O
s	s	SCONJ	O	O	O
'	'	SCONJ	O	O	O
il	il	PRON	O	O	O
percevait	percevoir	VERB	O	O	O
un	un	DET	O	O	O
bruit	bruit	NOUN	O	O	O
de	de	ADP	O	O	O
pas	pas	NOUN	O	O	O
sur	sur	ADP	O	O	O
le	le	DET	O	O	O
sable	sable	NOUN	O	O	O
.	.	PUNCT	O	O	O

Sans	sans	ADP	O	O	O
se	se	PRON	O	O	O
relever	relever	VERB	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
rampa	ramper	VERB	O	O	O
vers	vers	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
entrée	entrée	NOUN	O	O	O
du	de	ADP	O	O	O
marabout	marabout	NOUN	O	O	O
abandonné	abandonner	VERB	O	O	O
où	où	PRON	O	O	O
se	se	PRON	O	O	O
tenait	tenir	VERB	O	O	O
cette	ce	DET	O	O	O
conversation	conversation	NOUN	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
jour	jour	NOUN	O	O	O
durait	durer	VERB	O	O	O
encore	encore	ADV	O	O	O
,	,	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
le	le	DET	O	O	O
soleil	soleil	NOUN	O	O	O
ne	ne	ADV	O	O	O
tarderait	tarder	VERB	O	O	O
pas	pas	ADV	O	O	O
à	à	ADP	O	O	O
disparaître	disparaître	VERB	O	O	O
derrière	derrière	ADP	O	O	O
les	le	DET	O	O	O
dunes	dune	NOUN	O	O	O
qui	qui	PRON	O	O	O
bordent	border	VERB	O	O	O
de	de	ADP	O	O	O
ce	ce	DET	O	O	O
côté	côté	NOUN	O	O	O
le	le	DET	O	O	O
littoral	littoral	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Petite	petite	PROPN	O	O	O
-	-	PROPN	O	O	O
Syrte	syrte	PROPN	O	O	O
.	.	PUNCT	O	O	O

Au	au	ADP	O	O	O
début	début	NOUN	O	O	O
de	de	ADP	O	O	O
mars	mars	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
crépuscules	crépuscule	NOUN	O	O	O
ne	ne	ADV	O	O	O
sont	être	AUX	O	O	O
pas	pas	ADV	O	O	O
longs	long	ADJ	O	O	O
sur	sur	ADP	O	O	O
le	le	DET	O	O	O
trente	trente	NUM	O	O	O
-	-	NUM	O	O	O
quatrième	quatrième	ADJ	O	O	O
degré	degré	NOUN	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
hémisphère	hémisphère	NOUN	O	O	O
septentrional	septentrional	ADJ	O	O	O
.	.	PUNCT	O	O	O

L	l	DET	O	O	O
'	'	DET	O	O	O
astre	astre	NOUN	O	O	O
radieux	radieux	ADJ	O	O	O
ne	ne	ADV	O	O	O
s	s	PRON	O	O	O
'	'	PRON	O	O	O
y	y	PRON	O	O	O
rapproche	rapprocher	VERB	O	O	O
pas	pas	ADV	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
horizon	horizon	NOUN	O	O	O
par	par	ADP	O	O	O
une	un	DET	O	O	O
descente	descente	NOUN	O	O	O
