I.	i.	PUNCT	O	O	O

Ce	ce	PRON	O	O	O
qui	qui	PRON	O	O	O
se	se	PRON	O	O	O
passe	passer	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
pays	pays	NOUN	O	O	O
.	.	PUNCT	O	O	O

Cette	ce	DET	O	O	O
rangée	rangée	NOUN	O	O	O
de	de	ADP	O	O	O
montagnes	montagne	NOUN	O	O	O
,	,	PUNCT	O	O	O
parallèle	parallèle	ADJ	O	O	O
au	au	ADP	O	O	O
littoral	littoral	NOUN	O	O	O
américain	américain	ADJ	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Atlantique	atlantique	PROPN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
sillonne	sillonner	VERB	O	O	O
la	le	DET	O	O	O
Caroline	caroline	PROPN	O	O	O
du	de	ADP	O	O	O
Nord	nord	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
Virginie	virginie	PROPN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
Maryland	maryland	PROPN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
Pennsylvanie	pennsylvanie	PROPN	O	O	O
,	,	PUNCT	O	O	O
l'	le	DET	O	O	O
État	état	NOUN	O	O	O
de	de	ADP	O	O	O
New	new	PROPN	O	O	O
York	york	PROPN	O	O	O
,	,	PUNCT	O	O	O
porte	porte	VERB	O	O	O
le	le	DET	O	O	O
double	double	ADJ	O	O	O
nom	nom	NOUN	O	O	O
de	de	ADP	O	O	O
monts	mont	NOUN	O	O	O
Alleghanys	alleghanys	PROPN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
monts	mont	NOUN	O	O	O
Appalaches	appalache	NOUN	O	O	O
.	.	PUNCT	O	O	O

Elle	lui	PRON	O	O	O
est	être	AUX	O	O	O
formée	former	VERB	O	O	O
de	de	ADP	O	O	O
deux	deux	NUM	O	O	O
chaînes	chaîne	NOUN	O	O	O
distinctes	distinct	ADJ	O	O	O
:	:	PUNCT	O	O	O
à	à	ADP	O	O	O
les	le	DET	O	O	O
monts	mont	NOUN	O	O	O
Cumberland	cumberland	PROPN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
est	est	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
Montagnes	montagne	NOUN	O	O	O
Bleues	bleu	ADJ	O	O	O
.	.	PUNCT	O	O	O

l'	le	DET	O	O	O
ouest	ouest	PROPN	O	O	O
,	,	PUNCT	O	O	O

Si	si	SCONJ	O	O	O
ce	ce	DET	O	O	O
système	système	NOUN	O	O	O
orographique	orographique	ADJ	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
plus	plus	ADV	O	O	O
