LIVRE	livre	PROPN	O	O	O
PREMIER	premier	ADJ	O	O	O

—	—	PUNCT	O	O	O
I	i	NOUN	O	O	O

Dans	dans	ADP	O	O	O
sa	son	DET	O	O	O
promenade	promenade	NOUN	O	O	O
au	au	ADP	O	O	O
hasard	hasard	NOUN	O	O	O
,	,	PUNCT	O	O	O
Luc	luc	PROPN	O	O	O
Froment	froment	PROPN	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
sortant	sortir	VERB	O	O	O
de	de	ADP	O	O	O
Beauclair	beauclair	PROPN	O	O	O
,	,	PUNCT	O	O	O
avait	avoir	AUX	O	O	O
remonté	remonter	VERB	O	O	O
la	le	DET	O	O	O
route	route	NOUN	O	O	O
de	de	ADP	O	O	O
Brias	brias	PROPN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
suit	suivre	VERB	O	O	O
la	le	DET	O	O	O
gorge	gorge	NOUN	O	O	O
où	où	PRON	O	O	O
coule	coule	VERB	O	O	O
le	le	DET	O	O	O
torrent	torrent	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Mionne	mionne	PROPN	O	O	O
,	,	PUNCT	O	O	O
entre	entrer	ADP	O	O	O
les	le	DET	O	O	O
promontoires	promontoire	NOUN	O	O	O
des	de	ADP	O	O	O
Monts	mont	NOUN	O	O	O
Bleuses	bleuses	PROPN	O	O	O
.	.	PUNCT	O	O	O

Et	et	CCONJ	O	O	O
,	,	PUNCT	O	O	O
comme	comme	SCONJ	O	O	O
il	il	PRON	O	O	O
arrivait	arriver	VERB	O	O	O
devant	devant	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
Abîme	abîme	NOUN	O	O	O
,	,	PUNCT	O	O	O
nom	nom	NOUN	O	O	O
que	que	SCONJ	O	O	O
portent	porter	ADV	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
pays	pays	NOUN	O	O	O
les	le	DET	O	O	O
Aciéries	aciérie	NOUN	O	O	O
Qurignon	qurignon	ADJ	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
aperçut	apercevoir	VERB	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
angle	angle	NOUN	O	O	O
du	de	ADP	O	O	O
pont	pont	NOUN	O	O	O
de	de	ADP	O	O	O
