PREMIER	premier	ADJ	O	O	O
RÉCIT¹	récit¹	NOUN	O	O	O
RESURRECTIO	resurrectio	NOUN	O	O	O
PRÆTERITI	præteriti	NOUN	O	O	O
I	i	ADJ	O	O	O
QUERENS	queren	NOUN	O	O	O

.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Vous	vous	PRON	O	O	O
m'	me	PRON	O	O	O
avez	avoir	AUX	O	O	O
promis	promettre	VERB	O	O	O
,	,	PUNCT	O	O	O
ô	ô	INTJ	O	O	O
Lumen	lumen	PROPN	O	O	O
!	!	PUNCT	O	O	O
de	de	ADP	O	O	O
me	me	PRON	O	O	O
faire	faire	VERB	O	O	O
le	le	DET	O	O	O
récit	récit	NOUN	O	O	O
de	de	ADP	O	O	O
cette	ce	DET	O	O	O
heure	heure	NOUN	O	O	O
étrange	étrange	ADJ	O	O	O
,	,	PUNCT	O	O	O
étrange	étrange	ADJ	O	O	O
entre	entrer	ADP	O	O	O
toutes	tout	PRON	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
suivit	suivre	VERB	O	O	O
votre	votre	DET	O	O	O
dernier	dernier	ADJ	O	O	O
soupir	soupir	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
me	me	PRON	O	O	O
raconter	raconter	VERB	O	O	O
comment	comment	ADV	O	O	O
,	,	PUNCT	O	O	O
par	par	ADP	O	O	O
une	un	DET	O	O	O
loi	loi	NOUN	O	O	O
naturelle	naturel	ADJ	O	O	O
,	,	PUNCT	O	O	O
quoique	quoique	ADV	O	O	O
si	si	ADV	O	O	O
singulière	singulier	ADJ	O	O	O
,	,	PUNCT	O	O	O
vous	vous	PRON	O	O	O
revîtes	revoir	VERB	O	O	O
le	le	DET	O	O	O
passé	passé	NOUN	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
présent	présent	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
pénétrâtes	pénétrer	VERB	O	O	O
un	un	DET	O	O	O
mystère	mystère	NOUN	O	O	O
qui	qui	PRON	O	O	O
était	être	AUX	O	O	O
resté	rester	VERB	O	O	O
si	si	ADV	O	O	O
obscurément	obscurément	ADV	O	O	O
caché	cacher	VERB	O	O	O
jusqu'	jusque	ADP	O	O	O
