I.	i.	NOUN	O	O	O
Terribles	terrible	ADJ	O	O	O
projets	projet	NOUN	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
savant	savant	NOUN	O	O	O
méconnu	méconnaître	VERB	O	O	O
.	.	PUNCT	O	O	O

Mon	mon	DET	O	O	O
ami	ami	NOUN	O	O	O
Célestin	célestin	PROPN	O	O	O
Marjolet	marjolet	PROPN	O	O	O
était	être	AUX	O	O	O
un	un	DET	O	O	O
homme	homme	NOUN	O	O	O
très	très	ADV	O	O	O
fort	fort	ADV	O	O	O
,	,	PUNCT	O	O	O
un	un	DET	O	O	O
grand	grand	ADJ	O	O	O
savant	savant	NOUN	O	O	O
,	,	PUNCT	O	O	O
cependant	cependant	ADV	O	O	O
il	il	PRON	O	O	O
ne	ne	ADV	O	O	O
pouvait	pouvoir	VERB	O	O	O
parvenir	parvenir	VERB	O	O	O
à	à	ADP	O	O	O
se	se	PRON	O	O	O
faire	faire	VERB	O	O	O
prendre	prendre	VERB	O	O	O
au	au	ADP	O	O	O
sérieux	sérieux	PRON	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
public	public	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	VERB	O	O	O
à	à	ADP	O	O	O
cela	celer	PRON	O	O	O
plusieurs	plusieurs	DET	O	O	O
raisons	raison	NOUN	O	O	O
,	,	PUNCT	O	O	O
d'	de	ADP	O	O	O
abord	abord	ADV	O	O	O
il	il	PRON	O	O	O
ne	ne	ADV	O	O	O
mettait	mettre	VERB	O	O	O
pas	pas	ADV	O	O	O
de	de	DET	O	O	O
lunettes	lunette	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
portait	porter	VERB	O	O	O
tous	tout	ADJ	O	O	O
ses	son	DET	O	O	O
cheveux	cheveu	NOUN	O	O	O
et	et	CCONJ	O	O	O
il	il	PRON	O	O	O
avait	avoir	VERB	O	O	O
trente	trente	NUM	O	O	O
-	-	PUNCT	O	O	O
cinq	cinq	NUM	O	O	O
ans	an	NOUN	O	O	O
.	.	PUNCT	O	O	O

Or	or	CCONJ	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
vous	vous	PRON	O	O	O
le	le	PRON	O	O	O
demande	demande	NOUN	O	O	O
,	,	PUNCT	O	O	O
quel	quel	DET	O	O	O
singulier	singulier	NOUN	O	O	O
savant	saver	VERB	O	O	O
doit	devoir	VERB	O	O	O
être	être	AUX	O	O	O
un	un	DET	O	O	O
monsieur	monsieur	NOUN	O	O	O
de	de	ADP	O	O	O
trente	trente	NUM	O	O	O
-	-	PUNCT	O	O	O
cinq	cinq	NUM	O	O	O
ans	an	NOUN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
n'	ne	ADV	O	O	O
est	être	AUX	O	O	O
pas	pas	ADV	O	O	O
myope	myope	ADJ	O	O	O
,	,	PUNCT	O	O	O
ni	ni	CCONJ	O	O	O
chauve	chauve	NOUN	O	O	O
!	!	PUNCT	O	O	O

Ensuite	ensuite	ADV	O	O	O
il	il	PRON	O	O	O
n'	ne	ADV	O	O	O
était	être	AUX	O	O	O
même	même	ADV	O	O	O
pas	pas	ADV	O	O	O
américain	américain	ADJ	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
pour	pour	ADP	O	O	O
comble	comble	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
avait	avoir	AUX	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
son	son	DET	O	O	O
extrême	extrême	ADJ	O	O	O
jeunesse	jeunesse	NOUN	O	O	O
,	,	PUNCT	O	O	O
publié	publier	VERB	O	O	O
un	un	DET	O	O	O
volume	volume	NOUN	O	O	O
de	de	ADP	O	O	O
vers	vers	ADP	O	O	O
.	.	PUNCT	O	O	O

Bref	bref	ADV	O	O	O
,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
était	être	AUX	O	O	O
un	un	DET	O	O	O
savant	savant	NOUN	O	O	O
d'	de	ADP	O	O	O
espèce	espèce	NOUN	O	O	O
impossible	impossible	ADJ	O	O	O
et	et	CCONJ	O	O	O
inadmissible	inadmissible	ADJ	O	O	O
!	!	PUNCT	O	O	O

Et	et	CCONJ	O	O	O
pourtant	pourtant	ADV	O	O	O
Célestin	célestin	PROPN	O	O	O
Marjolet	marjolet	PROPN	O	O	O
était	être	AUX	O	O	O
un	un	DET	O	O	O
vrai	vrai	NOUN	O	O	O
puits	puits	NOUN	O	O	O
de	de	ADP	O	O	O
science	science	NOUN	O	O	O
,	,	PUNCT	O	O	O
un	un	DET	O	O	O
puits	puits	NOUN	O	O	O
artésien	artésien	ADJ	O	O	O
extrêmement	extrêmement	ADV	O	O	O
profond	profond	ADJ	O	O	O
d'	de	ADP	O	O	O
où	où	PRON	O	O	O
jaillissaient	jaillir	ADV	O	O	O
des	de	ADP	O	O	O
idées	idée	NOUN	O	O	O
surprenantes	surprenant	ADJ	O	O	O
et	et	CCONJ	O	O	O
stupéfiantes	stupéfiante	NOUN	O	O	O
.	.	PUNCT	O	O	O

Mais	mais	CCONJ	O	O	O
faute	faute	NOUN	O	O	O
d'	de	ADP	O	O	O
argent	argent	NOUN	O	O	O
,	,	PUNCT	O	O	O
Célestin	célestin	NOUN	O	O	O
abandonnant	abandonner	VERB	O	O	O
les	le	DET	O	O	O
expériences	expérience	NOUN	O	O	O
trop	trop	ADV	O	O	O
coûteuses	coûteuse	NOUN	O	O	O
,	,	PUNCT	O	O	O
s'	se	PRON	O	O	O
était	être	AUX	O	O	O
voué	vouer	VERB	O	O	O
à	à	ADP	O	O	O
certaines	certain	DET	O	O	O
recherches	recherche	NOUN	O	O	O
nouvelles	nouveau	ADJ	O	O	O
qui	qui	PRON	O	O	O
ne	ne	ADV	O	O	O
demandent	demander	VERB	O	O	O
comme	comme	ADP	O	O	O
mise	mise	NOUN	O	O	O
de	de	ADP	O	O	O
fonds	fonds	NOUN	O	O	O
qu'	que	SCONJ	O	O	O
une	un	DET	O	O	O
somme	somme	NOUN	O	O	O
considérable	considérable	ADJ	O	O	O
d'	de	ADP	O	O	O
efforts	effort	NOUN	O	O	O
du	de	ADP	O	O	O
cerveau	cerveau	NOUN	O	O	O
,	,	PUNCT	O	O	O
des	un	DET	O	O	O
dépenses	dépense	NOUN	O	O	O
de	de	ADP	O	O	O
fluide	fluide	NOUN	O	O	O
magnétique	magnétique	ADJ	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
volonté	volonté	NOUN	O	O	O
.	.	PUNCT	O	O	O

Bref	bref	ADV	O	O	O
,	,	PUNCT	O	O	O
Célestin	célestin	PROPN	O	O	O
Marjolet	marjolet	PROPN	O	O	O
se	se	PRON	O	O	O
lançant	lancer	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
surnaturel	surnaturel	NOUN	O	O	O
,	,	PUNCT	O	O	O
cherchait	chercher	VERB	O	O	O
tout	tout	ADV	O	O	O
simplement	simplement	ADV	O	O	O
le	le	DET	O	O	O
moyen	moyen	NOUN	O	O	O
de	de	ADP	O	O	O
faire	faire	VERB	O	O	O
reparaître	reparaître	NOUN	O	O	O
le	le	DET	O	O	O
passé	passé	NOUN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
réveiller	réveiller	VERB	O	O	O
les	le	DET	O	O	O
siècles	siècle	NOUN	O	O	O
endormis	endormi	ADJ	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
un	un	DET	O	O	O
mot	mot	NOUN	O	O	O
de	de	ADP	O	O	O
recommencer	recommencer	VERB	O	O	O
le	le	DET	O	O	O
monde	monde	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
prétendait	prétendre	VERB	O	O	O
donner	donner	VERB	O	O	O
une	un	DET	O	O	O
nouvelle	nouveau	ADJ	O	O	O
vie	vie	NOUN	O	O	O
à	à	ADP	O	O	O
ces	ce	DET	O	O	O
animaux	animal	NOUN	O	O	O
primitifs	primitif	ADJ	O	O	O
qui	qui	PRON	O	O	O
épouvantaient	épouvanter	VERB	O	O	O
les	le	DET	O	O	O
premiers	premier	ADJ	O	O	O
habitants	habitant	NOUN	O	O	O
du	de	ADP	O	O	O
globe	globe	NOUN	O	O	O
et	et	CCONJ	O	O	O
dont	dont	PRON	O	O	O
les	le	DET	O	O	O
formes	forme	NOUN	O	O	O
fantastiques	fantastique	ADJ	O	O	O
ont	avoir	AUX	O	O	O
été	être	AUX	O	O	O
reconstituées	reconstituer	VERB	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
savant	saver	VERB	O	O	O
Cuvier	cuvier	PROPN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
voulait	vouloir	VERB	O	O	O
ranimer	ranimer	VERB	O	O	O
les	le	DET	O	O	O
momies	momie	NOUN	O	O	O
égyptiennes	égyptien	ADJ	O	O	O
,	,	PUNCT	O	O	O
faire	faire	AUX	O	O	O
sortir	sortir	VERB	O	O	O
de	de	ADP	O	O	O
leurs	leur	DET	O	O	O
tombes	tombe	NOUN	O	O	O
les	le	DET	O	O	O
guerriers	guerrier	NOUN	O	O	O
romains	romain	ADJ	O	O	O
,	,	PUNCT	O	O	O
gaulois	gaulois	NOUN	O	O	O
,	,	PUNCT	O	O	O
wisigoths	wisigoth	PROPN	O	O	O
,	,	PUNCT	O	O	O
sarrazins	sarrazin	ADJ	O	O	O
ensevelis	ensevelir	VERB	O	O	O
depuis	depuis	ADP	O	O	O
des	un	DET	O	O	O
siècles	siècle	NOUN	O	O	O
sous	sou	ADP	O	O	O
notre	notre	DET	O	O	O
sol	sol	NOUN	O	O	O
.	.	PUNCT	O	O	O

Aussi	aussi	ADV	O	O	O
,	,	PUNCT	O	O	O
quand	quand	SCONJ	O	O	O
fut	être	AUX	O	O	O
annoncée	annoncer	VERB	O	O	O
l'	le	DET	O	O	O
Exposition	exposition	NOUN	O	O	O
universelle	universel	ADJ	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
crut	croire	VERB	O	O	O
le	le	DET	O	O	O
moment	moment	NOUN	O	O	O
venu	venir	VERB	O	O	O
de	de	ADP	O	O	O
se	se	PRON	O	O	O
révéler	révéler	VERB	O	O	O
par	par	ADP	O	O	O
un	un	DET	O	O	O
coup	coup	NOUN	O	O	O
d'	de	ADP	O	O	O
éclat	éclat	NOUN	O	O	O
et	et	CCONJ	O	O	O
demanda	demander	VERB	O	O	O
la	le	DET	O	O	O
concession	concession	NOUN	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
pavillon	pavillon	NOUN	O	O	O
au	au	ADP	O	O	O
Champ	champ	NOUN	O	O	O
de	de	ADP	O	O	O
Mars	mars	NOUN	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
parlait	parler	VERB	O	O	O
de	de	ADP	O	O	O
réunir	réunir	VERB	O	O	O
dans	dans	ADP	O	O	O
les	le	DET	O	O	O
galeries	galerie	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
histoire	histoire	NOUN	O	O	O
du	de	ADP	O	O	O
Travail	travail	NOUN	O	O	O
des	de	ADP	O	O	O
reconstitutions	reconstitution	NOUN	O	O	O
