Les	O
plus	O
ignares	O
habitants	O
de	O
la	O
planète	O
surent	O
enfin	O
,	O
vers	O
l	O
'	O
an	O
2150	O
après	O
Barrabas	B-PER
,	O
comment	O
il	O
fallait	O
s	O
'	O
y	O
prendre	O
pour	O
parvenir	O
.	O

Ce	O
n	O
'	O
était	O
pas	O
bien	O
compliqué	O
.	O

Pour	O
parvenir	O
,	O
il	O
suffisait	O
de	O
faire	O
parler	O
de	O
soi	O
.	O

A	O
ceux	O
dont	O
on	O
parle	O
vont	O
honneurs	O
,	O
gloire	O
et	O
fortune	O
.	O

On	O
s	O
'	O
aperçut	O
aisément	O
,	O
au	O
vingt	O
-	O
deuxième	O
siècle	O
et	O
même	O
auparavant	O
—	O
qu	O
'	O
il	O
n	O
'	O
était	O
pas	O
très	O
difficile	O
de	O
faire	O
parler	O
de	O
soi	O
:	O
il	O
n	O
'	O
y	O
avait	O
qu	O
'	O
à	O
être	O
vainqueur	O
dans	O
l	O
'	O
un	O
des	O
mille	O
concours	O
,	O
matches	O
,	O
records	O
et	O
acrobaties	O
diverses	O
dont	O
les	O
journaux	O
donnent	O
quotidiennement	O
tes	O
les	O
femmes	O
l	O
'	O
adoraient	O
,	O
du	O
pôle	O
Nord	O
au	O
pôle	O
Sud	O
,	O
et	O
il	O
put	O
choisir	O
entre	O
cent	O
mille	O
.	O

Il	O
prit	O
la	O
plus	O
belle	O
,	O
certes	O
pour	O
être	O
le	O
plus	O
heureux	O
des	O
maris	O
in	O
the	O
world	O
.	O

Mais	O
il	O
s	O
'	O
aperçut	O
,	O
après	O
quelques	O
mois	O
de	O
délices	O
,	O
que	O
sa	O
femme	O
avait	O
,	O
elle	O
aussi	O
,	O
un	O
coeur	O
innombrable	O
.	O

Avec	O
quel	O
entrain	O
elle	O
se	O
mettait	O
à	O
le	O
tromper	O
!	O

Il	O
s	O
'	O
en	O
affligea	O
d	O
'	O
abord	O
,	O
puis	O
il	O
se	O
consola	O
,	O
et	O
même	O
se	O
félicita	O
:	O
Le	O
plus	O
grand	O
Sganarelle	B-PER
in	O
the	O
world	O
:	O
était	O
-	O
ce	O
un	O
titre	O
à	O
dédaigner	O
?	O

C	O
'	O
est	O
pour	O
le	O
coup	O
qu	O
'	O
on	O
parla	O
de	O
lui	O
.	O

Ce	O
triomphe	O
,	O
après	O
tant	O
d	O
'	O
autres	O
,	O
lui	O
conféra	O
un	O
tel	O
prestige	O
,	O
l	O
'	O
illumina	O
d	O
'	O
une	O
telle	O
auréole	O
,	O
qu	O
'	O
il	O
ne	O
douta	O
plus	O
d	O
'	O
entrer	O
un	O
jour	O
au	B-LOC
Panthéon	I-LOC
.	O

La	O
porte	O
en	O
était	O
assez	O
haute	O
.	O

Jean	B-PER
-	O
Pierre	B-PER
-	O
Paul	B-PER
comprit	O
cela	O
dès	O
son	O
jeune	O
âge	O
.	O

Aussi	O
résolut	O
-	O
il	O
d	O
'	O
être	O
le	O
plus	O
grand	O
quelque	O
chose	O
in	O
the	O
world	O
.	O

Il	O
songea	O
d	O
'	O
abord	O
à	O
triompher	O
dans	O
les	O
concours	O
littéraires	O
et	O
artistiques	O
;	O
mais	O
il	O
s	O
'	O
aperçut	O
qu	O
'	O
il	O
y	O
fallait	O
user	O
beaucoup	O
de	O
chaussures	O
,	O
certains	O
membres	O
du	O
jury	O
ayant	O
l	O
'	O
incongruité	O
d	O
'	O
