CHAPITRE	chapitrer	VERB	O	O	O
PRÉLIMINAIRE	préliminaire	NOUN	O	O	O
Qui	qui	PRON	O	O	O
résume	résumer	VERB	O	O	O
la	le	DET	O	O	O
première	premier	ADJ	O	O	O
partie	partie	NOUN	O	O	O
de	de	ADP	O	O	O
cet	ce	DET	O	O	O
ouvrage	ouvrage	NOUN	O	O	O
,	,	PUNCT	O	O	O
pour	pour	ADP	O	O	O
servir	servir	VERB	O	O	O
de	de	ADP	O	O	O
préface	préface	NOUN	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
seconde	second	ADJ	O	O	O
Pendant	pendant	ADP	O	O	O
le	le	DET	O	O	O
cours	cours	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
année	année	NOUN	O	O	O
186	186	NUM	O	O	O
.	.	PUNCT	O	O	O

,	,	PUNCT	O	O	O
le	le	DET	O	O	O
monde	monde	NOUN	O	O	O
entier	entier	ADJ	O	O	O
fut	être	AUX	O	O	O
singulièrement	singulièremer	VERB	O	O	O
ému	émouvoir	VERB	O	O	O
par	par	ADP	O	O	O
une	un	DET	O	O	O
tentative	tentative	NOUN	O	O	O
scientifique	scientifique	ADJ	O	O	O
sans	sans	ADP	O	O	O
précédents	précédent	NOUN	O	O	O
dans	dans	ADP	O	O	O
les	le	DET	O	O	O
annales	annale	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
science	science	NOUN	O	O	O
.	.	PUNCT	O	O	O

Les	le	DET	O	O	O
membres	membre	NOUN	O	O	O
du	de	ADP	O	O	O
Gun	gun	PROPN	O	O	O
-	-	PUNCT	O	O	O
Club	club	PROPN	O	O	O
,	,	PUNCT	O	O	O
cercle	cercle	NOUN	O	O	O
d'	de	ADP	O	O	O
artilleurs	artilleur	NOUN	O	O	O
fondé	fonder	VERB	O	O	O
à	à	ADP	O	O	O
Baltimore	baltimore	PROPN	O	O	O
après	après	ADP	O	O	O
la	le	DET	O	O	O
guerre	guerre	NOUN	O	O	O
d'	de	ADP	O	O	O
Amérique	amérique	PROPN	O	O	O
,	,	PUNCT	O	O	O
avaient	avoir	AUX	O	O	O
eu	avoir	VERB	O	O	O
l'	le	DET	O	O	O
idée	idée	NOUN	O	O	O
de	de	ADP	O	O	O
se	se	PRON	O	O	O
mettre	mettre	VERB	O	O	O
en	en	ADP	O	O	O
communication	communication	NOUN	O	O	O
avec	avec	ADP	O	O	O
la	le	DET	O	O	O
Lune	lune	PROPN	O	O	O
–	–	NOUN	O	O	O
oui	oui	NOUN	O	O	O
,	,	PUNCT	O	O	O
avec	avec	ADP	O	O	O
la	le	DET	O	O	O
Lune	lune	PROPN	O	O	O
–	–	NOUN	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
lui	luire	PRON	O	O	O
envoyant	envoyer	VERB	O	O	O
un	un	DET	O	O	O
boulet	boulet	NOUN	O	O	O
.	.	PUNCT	O	O	O

Leur	son	DET	O	O	O
président	président	NOUN	O	O	O
Barbicane	barbicane	PROPN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
promoteur	promoteur	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
entreprise	entreprise	NOUN	O	O	O
,	,	PUNCT	O	O	O
ayant	avoir	AUX	O	O	O
consulté	consulter	VERB	O	O	O
à	à	ADP	O	O	O
ce	ce	DET	O	O	O
sujet	sujet	NOUN	O	O	O
les	le	DET	O	O	O
astronomes	astronome	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Observatoire	observatoire	NOUN	O	O	O
de	de	ADP	O	O	O
Cambridge	cambridge	PROPN	O	O	O
,	,	PUNCT	O	O	O
prit	prendre	VERB	O	O	O
toutes	tout	ADJ	O	O	O
les	le	DET	O	O	O
mesures	mesure	NOUN	O	O	O
nécessaires	nécessaire	ADJ	O	O	O
au	au	ADP	O	O	O
succès	succès	NOUN	O	O	O
de	de	ADP	O	O	O
cette	ce	DET	O	O	O
extraordinaire	extraordinaire	NOUN	O	O	O
entreprise	entreprise	NOUN	O	O	O
,	,	PUNCT	O	O	O
déclarée	déclarer	VERB	O	O	O
réalisable	réalisable	ADJ	O	O	O
par	par	ADP	O	O	O
la	le	DET	O	O	O
majorité	majorité	NOUN	O	O	O
des	de	ADP	O	O	O
gens	gens	NOUN	O	O	O
compétents	compétent	NOUN	O	O	O
.	.	PUNCT	O	O	O

Après	après	ADP	O	O	O
avoir	avoir	AUX	O	O	O
provoqué	provoquer	VERB	O	O	O
une	un	DET	O	O	O
souscription	souscription	NOUN	O	O	O
publique	public	ADJ	O	O	O
qui	qui	PRON	O	O	O
produisit	produire	VERB	O	O	O
près	près	ADV	O	O	O
de	de	ADP	O	O	O
trente	trente	NUM	O	O	O
millions	million	NOUN	O	O	O
de	de	ADP	O	O	O
francs	franc	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
commença	commencer	VERB	O	O	O
ses	son	DET	O	O	O
gigantesques	gigantesque	ADJ	O	O	O
travaux	traval	ADJ	O	O	O
.	.	PUNCT	O	O	O

Suivant	suivre	VERB	O	O	O
la	le	DET	O	O	O
note	note	NOUN	O	O	O
rédigée	rédiger	VERB	O	O	O
par	par	ADP	O	O	O
les	le	DET	O	O	O
membres	membre	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Observatoire	observatoire	PROPN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
canon	canon	NOUN	O	O	O
destiné	destiner	VERB	O	O	O
à	à	ADP	O	O	O
lancer	lancer	VERB	O	O	O
le	le	DET	O	O	O
projectile	projectile	NOUN	O	O	O
devait	devoir	VERB	O	O	O
être	être	AUX	O	O	O
établi	établir	VERB	O	O	O
dans	dans	ADP	O	O	O
un	un	DET	O	O	O
pays	pays	NOUN	O	O	O
situé	situer	VERB	O	O	O
entre	entrer	ADP	O	O	O
0	0	NUM	O	O	O
et	et	CCONJ	O	O	O
28	28	NUM	O	O	O
degrés	degré	NOUN	O	O	O
de	de	ADP	O	O	O
latitude	latitude	NOUN	O	O	O
nord	nord	ADJ	O	O	O
ou	ou	CCONJ	O	O	O
sud	sud	NOUN	O	O	O
,	,	PUNCT	O	O	O
afin	afin	ADV	O	O	O
de	de	ADP	O	O	O
viser	viser	VERB	O	O	O
la	le	DET	O	O	O
Lune	lune	NOUN	O	O	O
au	au	ADP	O	O	O
zénith	zénith	NOUN	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
boulet	boulet	NOUN	O	O	O
devait	devoir	VERB	O	O	O
être	être	AUX	O	O	O
animé	animer	VERB	O	O	O
d'	de	ADP	O	O	O
une	un	DET	O	O	O
vitesse	vitesse	NOUN	O	O	O
initiale	initial	ADJ	O	O	O
de	de	ADP	O	O	O
douze	douze	NOUN	O	O	O
mille	mille	NUM	O	O	O
yards	yard	NOUN	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
seconde	second	ADJ	O	O	O
.	.	PUNCT	O	O	O

Lancé	lancé	PROPN	O	O	O
le	le	DET	O	O	O
1er	premier	ADJ	O	O	O
décembre	décembre	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
onze	onze	NUM	O	O	O
heures	heure	NOUN	O	O	O
moins	moins	ADV	O	O	O
treize	treize	NUM	O	O	O
minutes	minute	NOUN	O	O	O
et	et	CCONJ	O	O	O
vingt	vingt	NUM	O	O	O
secondes	seconde	NOUN	O	O	O
du	de	ADP	O	O	O
soir	soir	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
devait	devoir	VERB	O	O	O
rencontrer	rencontrer	VERB	O	O	O
la	le	DET	O	O	O
Lune	lune	NOUN	O	O	O
quatre	quatre	NUM	O	O	O
jours	jour	NOUN	O	O	O
après	après	ADP	O	O	O
son	son	DET	O	O	O
départ	départ	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
5	5	NUM	O	O	O
décembre	décembre	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
minuit	minuit	NOUN	O	O	O
précis	précis	ADJ	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
instant	instant	NOUN	O	O	O
même	même	ADV	O	O	O
où	où	PRON	O	O	O
elle	lui	PRON	O	O	O
se	se	PRON	O	O	O
trouverait	trouver	VERB	O	O	O
dans	dans	ADP	O	O	O
son	son	DET	O	O	O
périgée	périgée	NOUN	O	O	O
,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
est	est	ADV	O	O	O
-	-	PUNCT	O	O	O
à	à	ADV	O	O	O
-	-	ADV	O	O	O
dire	dire	VERB	O	O	O
à	à	ADP	O	O	O
sa	son	DET	O	O	O
distance	distance	NOUN	O	O	O
la	le	DET	O	O	O
plus	plus	ADV	O	O	O
rapprochée	rapprocher	VERB	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Terre	terre	NOUN	O	O	O
,	,	PUNCT	O	O	O
soit	être	AUX	O	O	O
exactement	exactement	ADV	O	O	O
quatre	quatre	NUM	O	O	O
-	-	PUNCT	O	O	O
vingt	vingt	NOUN	O	O	O
-	-	PUNCT	O	O	O
