PREMIÈRE	premier	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
LA	le	DET	O	O	O
ROUTE	route	NOUN	O	O	O
DU	de	ADP	O	O	O
PÔLE	pôle	NOUN	O	O	O
I	i	ADJ	O	O	O
Congrès	congrès	NOUN	O	O	O
international	international	ADJ	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Entre	entrer	ADP	O	O	O
géographes	géographe	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
A	à	ADP	O	O	O
propos	propos	NOUN	O	O	O
des	de	ADP	O	O	O
explorations	exploration	NOUN	O	O	O
polaires	polaire	ADJ	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Russe	russe	ADJ	O	O	O
,	,	PUNCT	O	O	O
Anglais	anglais	NOUN	O	O	O
,	,	PUNCT	O	O	O
Allemand	allemand	NOUN	O	O	O
et	et	CCONJ	O	O	O
Français	français	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Grands	grand	ADJ	O	O	O
voyages	voyage	NOUN	O	O	O
et	et	CCONJ	O	O	O
grands	grand	ADJ	O	O	O
voyageurs	voyageur	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Un	un	DET	O	O	O
patriote	patriote	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Défi	défi	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Lutte	lutte	NOUN	O	O	O
pacifique	pacifique	ADJ	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Pour	pour	ADP	O	O	O
la	le	DET	O	O	O
patrie	patrie	NOUN	O	O	O
!	!	PUNCT	O	O	O

Le	le	DET	O	O	O
congrès	congrès	NOUN	O	O	O
géographique	géographique	ADJ	O	O	O
international	international	ADJ	O	O	O
,	,	PUNCT	O	O	O
tenu	tenir	VERB	O	O	O
à	à	ADP	O	O	O
Londres	londres	PROPN	O	O	O
en	en	ADP	O	O	O
1886	1886	NUM	O	O	O
,	,	PUNCT	O	O	O
avait	avoir	AUX	O	O	O
rassemblé	rassembler	VERB	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
la	le	DET	O	O	O
capitale	capitale	NOUN	O	O	O
du	de	ADP	O	O	O
Royaume	royaume	PROPN	O	O	O
-	-	PROPN	O	O	O
Uni	uni	PROPN	O	O	O
,	,	PUNCT	O	O	O
nombre	nombre	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
illustrations	illustration	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
notabilités	notabilité	NOUN	O	O	O
scientifiques	scientifique	ADJ	O	O	O
.	.	PUNCT	O	O	O

De	de	ADP	O	O	O
tous	tout	ADJ	O	O	O
les	le	DET	O	O	O
points	point	NOUN	O	O	O
du	de	ADP	O	O	O
monde	monde	NOUN	O	O	O
civilisé	civilisé	ADJ	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
délégués	délégué	NOUN	O	O	O
étaient	être	AUX	O	O	O
accourus	accourir	VERB	O	O	O
à	à	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
invitation	invitation	NOUN	O	O	O
de	de	ADP	O	O	O
sir	sir	NOUN	O	O	O
Henry	henry	PROPN	O	O	O
C.	c.	PROPN	O	O	O
Rawlinson	rawlinson	PROPN	O	O	O
,	,	PUNCT	O	O	O
major	major	NOUN	O	O	O
général	général	ADJ	O	O	O
des	de	ADP	O	O	O
armées	armée	NOUN	O	O	O
de	de	ADP	O	O	O
Sa	son	DET	O	O	O
Majesté	majesté	NOUN	O	O	O
la	le	DET	O	O	O
Reine	reine	NOUN	O	O	O
et	et	CCONJ	O	O	O
président	président	NOUN	O	O	O
du	de	ADP	O	O	O
congrès	congrès	NOUN	O	O	O
.	.	PUNCT	O	O	O

Et	et	CCONJ	O	O	O
déjà	déjà	ADV	O	O	O
,	,	PUNCT	O	O	O
depuis	depuis	ADP	O	O	O
près	près	ADV	O	O	O
de	de	ADP	O	O	O
deux	deux	NUM	O	O	O
semaines	semaine	NOUN	O	O	O
,	,	PUNCT	O	O	O
vieux	vieux	ADJ	O	O	O
messieurs	monsieur	NOUN	O	O	O
à	à	ADP	O	O	O
lunettes	lunette	NOUN	O	O	O
,	,	PUNCT	O	O	O
sédentaires	sédentaire	ADJ	O	O	O
endurcis	endurci	ADJ	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
,	,	PUNCT	O	O	O
du	de	ADP	O	O	O
fond	fond	NOUN	O	O	O
de	de	ADP	O	O	O
leur	son	DET	O	O	O
cabinet	cabinet	NOUN	O	O	O
franchissent	franchir	VERB	O	O	O
monts	mont	NOUN	O	O	O
et	et	CCONJ	O	O	O
forêts	forêt	NOUN	O	O	O
,	,	PUNCT	O	O	O
enjambent	enjamber	VERB	O	O	O
latitudes	latitude	NOUN	O	O	O
et	et	CCONJ	O	O	O
longitudes	longitude	NOUN	O	O	O
,	,	PUNCT	O	O	O
gèlent	geler	VERB	O	O	O
au	au	ADP	O	O	O
cercle	cercle	NOUN	O	O	O
polaire	polaire	ADJ	O	O	O
ou	ou	CCONJ	O	O	O
cuisent	cuire	VERB	O	O	O
sous	sou	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
équateur	équateur	NOUN	O	O	O
,	,	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
par	par	ADP	O	O	O
procuration	procuration	NOUN	O	O	O
et	et	CCONJ	O	O	O
sans	sans	ADP	O	O	O
quitter	quitter	VERB	O	O	O
le	le	DET	O	O	O
bienheureux	bienheureux	ADJ	O	O	O
fauteuil	fauteuil	NOUN	O	O	O
...	...	PUNCT	O	O	O
officiers	officier	NOUN	O	O	O
de	de	ADP	O	O	O
marine	marine	NOUN	O	O	O
,	,	PUNCT	O	O	O
vaillants	vaillant	ADJ	O	O	O
,	,	PUNCT	O	O	O
discrets	discret	ADJ	O	O	O
et	et	CCONJ	O	O	O
corrects	correct	ADJ	O	O	O
...	...	PUNCT	O	O	O
professeurs	professeur	NOUN	O	O	O
érudits	érudit	ADJ	O	O	O
comme	comme	ADP	O	O	O
des	un	DET	O	O	O
dictionnaires	dictionnaire	NOUN	O	O	O
...	...	PUNCT	O	O	O
négociants	négociant	NOUN	O	O	O
et	et	CCONJ	O	O	O
armateurs	armateur	NOUN	O	O	O
pour	pour	ADP	O	O	O
qui	qui	PRON	O	O	O
la	le	DET	O	O	O
géographie	géographie	NOUN	O	O	O
n	ne	ADV	O	O	O
'	'	ADV	O	O	O
est	être	AUX	O	O	O
pas	pas	ADV	O	O	O
seulement	seulement	ADV	O	O	O
une	un	DET	O	O	O
science	science	NOUN	O	O	O
abstraite	abstrait	ADJ	O	O	O
...	...	PUNCT	O	O	O
et	et	CCONJ	O	O	O
enfin	enfin	ADV	O	O	O
explorateurs	explorateur	NOUN	O	O	O
bronzés	bronzer	VERB	O	O	O
,	,	PUNCT	O	O	O
fiévreux	fiévreux	ADJ	O	O	O
,	,	PUNCT	O	O	O
anémiques	anémique	ADJ	O	O	O
encore	encore	ADV	O	O	O
,	,	PUNCT	O	O	O
mal	mal	ADV	O	O	O
à	à	ADP	O	O	O
l	l	PUNCT	O	O	O
'	'	PUNCT	O	O	O
aise	aise	PUNCT	O	O	O
sous	sou	PUNCT	O	O	O
le	le	PUNCT	O	O	O
frac	frac	NOUN	O	O	O
noir	noir	PUNCT	O	O	O
qui	qui	PUNCT	O	O	O
a	avoir	PUNCT	O	O	O
remplacé	remplacer	PUNCT	O	O	O
leur	son	PUNCT	O	O	O
épique	épique	PUNCT	O	O	O
débraillé	débraillé	PUNCT	O	O	O
,	,	PUNCT	O	O	O
étourdis	étourdir	VERB	O	O	O
au	au	ADP	O	O	O
milieu	milieu	NOUN	O	O	O
du	du	PUNCT	O	O	O
va	va	NOUN	O	O	O
