IGNIS	ignis	PROPN	O	O	O
—	—	PUNCT	O	O	O
PREMIÈRE	premier	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
—	—	PUNCT	O	O	O
CHAPITRE	chapitre	NOUN	O	O	O
PREMIER	premier	ADJ	O	O	O
.	.	PUNCT	O	O	O

OÙ	où	SCONJ	O	O	O
LE	le	DET	O	O	O
LECTEUR	lecteur	NOUN	O	O	O
EST	être	AUX	O	O	O
PRIÉ	prier	VERB	O	O	O
DE	de	ADP	O	O	O
FAIRE	faire	VERB	O	O	O
UN	un	DET	O	O	O
PEU	peu	NOUN	O	O	O
DE	de	ADP	O	O	O
TOILETTE	toilette	NOUN	O	O	O
(	(	PUNCT	O	O	O
HABIT	habit	NOUN	O	O	O
NOIR	noir	ADJ	O	O	O
ET	et	CCONJ	O	O	O
LUNETTES	lunette	NOUN	O	O	O
D	d	ADP	O	O	O
'	'	ADP	O	O	O
OR	or	NOUN	O	O	O
)	)	PUNCT	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
vous	vous	PRON	O	O	O
prie	prier	VERB	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
agréer	agréer	VERB	O	O	O
,	,	PUNCT	O	O	O
Monsieur	monsieur	NOUN	O	O	O
,	,	PUNCT	O	O	O
toutes	tout	ADJ	O	O	O
mes	mon	DET	O	O	O
exigences	exigence	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
une	un	DET	O	O	O
semblable	semblable	ADJ	O	O	O
exigence	exigence	NOUN	O	O	O
,	,	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
nous	nous	PRON	O	O	O
sommes	être	VERB	O	O	O
en	en	ADP	O	O	O
Angleterre	angleterre	PROPN	O	O	O
,	,	PUNCT	O	O	O
où	où	PRON	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
étiquette	étiquette	NOUN	O	O	O
est	être	AUX	O	O	O
rigoureuse	rigoureux	ADJ	O	O	O
,	,	PUNCT	O	O	O
où	où	PRON	O	O	O
l	l	PRON	O	O	O
'	'	PRON	O	O	O
on	on	PRON	O	O	O
ne	ne	ADV	O	O	O
fraie	frayer	VERB	O	O	O
ensemble	ensemble	ADV	O	O	O
qu	qu	ADV	O	O	O
'	'	ADV	O	O	O
après	après	ADP	O	O	O
avoir	avoir	AUX	O	O	O
été	être	AUX	O	O	O
présentés	présenter	VERB	O	O	O
