PREMIÈRE	premier	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
L'	le	DET	O	O	O
ÉTENDARD	étendard	NOUN	O	O	O
DES	de	ADP	O	O	O
CINQ	cinq	PROPN	O	O	O
CENTS	cent	NOUN	O	O	O
DIEUX	dieux	PROPN	O	O	O
SPACE	O	O	O
-	-	PUNCT	O	O	O
SPACE	O	O	O
-	-	PUNCT	O	O	O
SPACE	O	O	O
-	-	PUNCT	O	O	O
SPACE	O	O	O
I	i	NOUN	O	O	O
Le	le	DET	O	O	O
5	5	NUM	O	O	O
février	février	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
an	an	NOUN	O	O	O
19	19	NUM	O	O	O
...	...	PUNCT	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	VERB	O	O	O
à	à	ADP	O	O	O
Paris	paris	PROPN	O	O	O
grande	grand	ADJ	O	O	O
émotion	émotion	NOUN	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
Société	société	NOUN	O	O	O
de	de	ADP	O	O	O
géographie	géographie	NOUN	O	O	O
avait	avoir	AUX	O	O	O
convoqué	convoquer	VERB	O	O	O
à	à	ADP	O	O	O
une	un	DET	O	O	O
réunion	réunion	NOUN	O	O	O
solennelle	solennel	ADJ	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
midi	midi	NOUN	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
grand	grand	ADJ	O	O	O
amphithéâtre	amphithéâtre	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Sorbonne	sorbonne	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
ban	ban	PROPN	O	O	O
et	et	CCONJ	O	O	O
l'	le	DET	O	O	O
arrière	arrière	NOUN	O	O	O
-	-	PUNCT	O	O	O
ban	ban	PROPN	O	O	O
de	de	ADP	O	O	O
ses	son	DET	O	O	O
membres	membre	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
aussi	aussi	ADV	O	O	O
toutes	tout	ADJ	O	O	O
les	le	DET	O	O	O
illustrations	illustration	NOUN	O	O	O
qui	qui	PRON	O	O	O
représentaient	représenter	VERB	O	O	O
le	le	DET	O	O	O
mouvement	mouvement	NOUN	O	O	O
nouveau	nouveau	ADJ	O	O	O
du	de	ADP	O	O	O
xxᵉ	xxᵉ	ADJ	O	O	O
siècle	siècle	NOUN	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
sait	savoir	VERB	O	O	O
d'	de	ADP	O	O	O
ailleurs	ailleurs	ADV	O	O	O
que	que	SCONJ	O	O	O
depuis	depuis	ADP	O	O	O
que	que	SCONJ	O	O	O
le	le	DET	O	O	O
traité	traité	NOUN	O	O	O
de	de	ADP	O	O	O
Paris	paris	PROPN	O	O	O
avait	avoir	AUX	O	O	O
restitué	restituer	VERB	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
France	france	PROPN	O	O	O
les	le	DET	O	O	O
chères	cher	ADJ	O	O	O
provinces	province	NOUN	O	O	O
perdues	perdre	ADJ	O	O	O
et	et	CCONJ	O	O	O
que	que	SCONJ	O	O	O
la	le	DET	O	O	O
chute	chute	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Empire	empire	NOUN	O	O	O
Allemand	allemand	PROPN	O	O	O
avait	avoir	AUX	O	O	O
substitué	substituer	VERB	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
autocratie	autocratie	NOUN	O	O	O
des	de	ADP	O	O	O
Hohenzollern	hohenzollern	NOUN	O	O	O
le	le	DET	O	O	O
régime	régime	NOUN	O	O	O
républicain	républicain	ADJ	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Confédération	confédération	NOUN	O	O	O
germanique	germanique	ADJ	O	O	O
,	,	PUNCT	O	O	O
notre	notre	DET	O	O	O
patrie	patrie	NOUN	O	O	O
,	,	PUNCT	O	O	O
délivrée	délivrer	VERB	O	O	O
des	de	ADP	O	O	O
charges	charge	NOUN	O	O	O
et	et	CCONJ	O	O	O
des	un	DET	O	O	O
angoisses	angoisse	NOUN	O	O	O
qui	qui	PRON	O	O	O
lui	luire	PRON	O	O	O
avaient	avoir	AUX	O	O	O
si	si	ADV	O	O	O
longtemps	longtemps	ADV	O	O	O
imposées	imposer	VERB	O	O	O
les	le	DET	O	O	O
armements	armement	NOUN	O	O	O
à	à	ADP	O	O	O
outrance	outrance	NOUN	O	O	O
,	,	PUNCT	O	O	O
avait	avoir	AUX	O	O	O
pu	pouvoir	VERB	O	O	O
consacrer	consacrer	VERB	O	O	O
toutes	tout	ADJ	O	O	O
ses	son	DET	O	O	O
forces	force	NOUN	O	O	O
vives	vivre	VERB	O	O	O
aux	à	ADP	O	O	O
études	étude	NOUN	O	O	O
intellectuelles	intellectuel	ADJ	O	O	O
et	et	CCONJ	O	O	O
méritait	mériter	VERB	O	O	O
plus	plus	ADV	O	O	O
que	que	SCONJ	O	O	O
jamais	jamais	ADV	O	O	O
le	le	DET	O	O	O
nom	nom	NOUN	O	O	O
de	de	ADP	O	O	O
Cerveau	cerveau	PROPN	O	O	O
du	de	ADP	O	O	O
Monde	monde	PROPN	O	O	O
.	.	PUNCT	O	O	O

I	i	NOUN	O	O	O
Dans	dans	ADP	O	O	O
toutes	tout	ADJ	O	O	O
les	le	DET	O	O	O
branches	branche	NOUN	O	O	O
du	de	ADP	O	O	O
savoir	savoir	NOUN	O	O	O
humain	humain	ADJ	O	O	O
,	,	PUNCT	O	O	O
elle	lui	PRON	O	O	O
avait	avoir	AUX	O	O	O
repris	reprendre	VERB	O	O	O
son	son	DET	O	O	O
rôle	rôle	NOUN	O	O	O
d'	de	ADP	O	O	O
avant	avant	ADP	O	O	O
-	-	PUNCT	O	O	O
garde	garde	NOUN	O	O	O
:	:	PUNCT	O	O	O
sa	son	DET	O	O	O
littérature	littérature	NOUN	O	O	O
,	,	PUNCT	O	O	O
dégagée	dégager	VERB	O	O	O
des	de	ADP	O	O	O
excès	excès	NOUN	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
naturalisme	naturalisme	NOUN	O	O	O
rabaissé	rabaisser	VERB	O	O	O
,	,	PUNCT	O	O	O
était	être	AUX	O	O	O
l'	le	DET	O	O	O
expression	expression	NOUN	O	O	O
la	le	DET	O	O	O
plus	plus	ADV	O	O	O
parfaite	parfait	ADJ	O	O	O
des	de	ADP	O	O	O
idées	idée	NOUN	O	O	O
du	de	ADP	O	O	O
présent	présent	NOUN	O	O	O
et	et	CCONJ	O	O	O
des	de	ADP	O	O	O
espérances	espérance	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
avenir	avenir	NOUN	O	O	O
.	.	PUNCT	O	O	O

Plus	plus	ADV	O	O	O
de	de	DET	O	O	O
secousses	secousse	NOUN	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
intérieur	intérieur	NOUN	O	O	O
:	:	PUNCT	O	O	O
les	le	DET	O	O	O
Parlements	parlement	NOUN	O	O	O
se	se	PRON	O	O	O
consacraient	consacrer	ADV	O	O	O
tout	tout	ADV	O	O	O
entiers	entier	PRON	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
réforme	réforme	NOUN	O	O	O
des	de	ADP	O	O	O
Codes	code	NOUN	O	O	O
et	et	CCONJ	O	O	O
aux	à	ADP	O	O	O
grandes	grand	ADJ	O	O	O
questions	question	NOUN	O	O	O
sociales	social	ADJ	O	O	O
dont	dont	PRON	O	O	O
dépend	dépendre	VERB	O	O	O
le	le	DET	O	O	O
