PREMIÈRE	premier	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
~~~~~~~~~~	~~~~~~~~~~	DET	O	O	O
LE	le	DET	O	O	O
NAIN	nain	NOUN	O	O	O
DE	de	ADP	O	O	O
RHADAMÉH	rhadaméh	VERB	O	O	O
CHAPITRE	chapitrer	AUX	O	O	O
I	i	ADJ	O	O	O
—	—	PUNCT	O	O	O
A	avoir	AUX	O	O	O
SOUAKIM	souakim	VERB	O	O	O
Le	le	DET	O	O	O
dîner	dîner	NOUN	O	O	O
avait	avoir	AUX	O	O	O
pris	prendre	VERB	O	O	O
fin	fin	X	O	O	O
;	;	PUNCT	O	O	O
on	on	PRON	O	O	O
venait	venir	VERB	O	O	O
de	de	ADP	O	O	O
passer	passer	VERB	O	O	O
au	au	ADP	O	O	O
salon	salon	NOUN	O	O	O
,	,	PUNCT	O	O	O
largement	largement	ADV	O	O	O
ouvert	ouvert	ADJ	O	O	O
de	de	ADP	O	O	O
toute	tout	ADJ	O	O	O
l'	le	DET	O	O	O
ampleur	ampleur	NOUN	O	O	O
de	de	ADP	O	O	O
sa	son	DET	O	O	O
baie	baie	NOUN	O	O	O
vitrée	vitrer	VERB	O	O	O
sur	sur	ADP	O	O	O
la	le	DET	O	O	O
nappe	napp	ADJ	O	O	O
immobile	immobile	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
mer	mer	ADJ	O	O	O
Rouge	rouge	PROPN	O	O	O
,	,	PUNCT	O	O	O
qu'	que	PRON	O	O	O
un	un	DET	O	O	O
beau	beau	NOUN	O	O	O
crépuscule	crépuscul	ADJ	O	O	O
de	de	ADP	O	O	O
janvier	janvier	NOUN	O	O	O
envahissait	envahir	VERB	O	O	O
lentement	lentement	ADV	O	O	O
.	.	PUNCT	O	O	O

M.	m.	NOUN	O	O	O
Kersain	kersain	PROPN	O	O	O
,	,	PUNCT	O	O	O
consul	consul	PROPN	O	O	O
de	de	ADP	O	O	O
France	france	PROPN	O	O	O
à	à	ADP	O	O	O
Souakim	souakim	PROPN	O	O	O
,	,	PUNCT	O	O	O
recevait	recevoir	VERB	O	O	O
ce	ce	DET	O	O	O
soir	soir	NOUN	O	O	O
-	-	PUNCT	O	O	O
là	là	ADV	O	O	O
M.	m.	NOUN	O	O	O
Norbert	norbert	PROPN	O	O	O
Mauny	mauny	PROPN	O	O	O
,	,	PUNCT	O	O	O
un	un	DET	O	O	O
jeune	jeune	ADJ	O	O	O
astronome	astronome	NOUN	O	O	O
qui	qui	PRON	O	O	O
lui	luire	PRON	O	O	O
avait	avoir	AUX	O	O	O
été	être	AUX	O	O	O
tout	tout	ADV	O	O	O
particulièrement	particulièrement	ADV	O	O	O
recommandé	recommander	VERB	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
ministre	ministre	NOUN	O	O	O
des	de	ADP	O	O	O
affaires	affaire	NOUN	O	O	O
étrangères	étranger	ADJ	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
lettre	lettre	NOUN	O	O	O
officielle	officiel	ADJ	O	O	O
invitait	inviter	VERB	O	O	O
le	le	DET	O	O	O
consul	consul	NOUN	O	O	O
à	à	ADP	O	O	O
se	se	PRON	O	O	O
mettre	mettre	VERB	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
entière	entier	ADJ	O	O	O
disposition	disposition	NOUN	O	O	O
de	de	ADP	O	O	O
M.	m.	NOUN	O	O	O
Mauny	mauny	PROPN	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
l'	le	DET	O	O	O
aidant	aidant	NOUN	O	O	O
de	de	ADP	O	O	O
son	son	DET	O	O	O
mieux	mieux	NOUN	O	O	O
dans	dans	ADP	O	O	O
l'	le	DET	O	O	O
accomplissement	accomplissement	NOUN	O	O	O
de	de	ADP	O	O	O
sa	son	DET	O	O	O
mission	mission	NOUN	O	O	O
scientifique	scientifique	ADJ	O	O	O
.	.	PUNCT	O	O	O

Un	un	DET	O	O	O
post	post	NOUN	O	O	O
-	-	PUNCT	O	O	O
scriptum	scriptum	NOUN	O	O	O
confidentiel	confidentiel	ADJ	O	O	O
ajoutait	ajouter	VERB	O	O	O
que	que	SCONJ	O	O	O
cette	ce	DET	O	O	O
mission	mission	NOUN	O	O	O
avait	avoir	VERB	O	O	O
un	un	DET	O	O	O
caractère	caractère	NOUN	O	O	O
secret	secret	NOUN	O	O	O
.	.	PUNCT	O	O	O

Aussi	aussi	ADV	O	O	O
M.	m.	NOUN	O	O	O
Kersain	kersain	PROPN	O	O	O
n'	ne	ADV	O	O	O
avait	avoir	AUX	O	O	O
-	-	PUNCT	O	O	O
il	il	PRON	O	O	O
prié	prier	VERB	O	O	O
à	à	ADP	O	O	O
dîner	dîner	VERB	O	O	O
,	,	PUNCT	O	O	O
avec	avec	ADP	O	O	O
le	le	DET	O	O	O
jeune	jeune	ADJ	O	O	O
savant	savant	NOUN	O	O	O
,	,	PUNCT	O	O	O
que	que	SCONJ	O	O	O
le	le	DET	O	O	O
lieutenant	lieutenant	NOUN	O	O	O
de	de	ADP	O	O	O
vaisseau	vaisseau	NOUN	O	O	O
Guyon	guyon	PROPN	O	O	O
,	,	PUNCT	O	O	O
commandant	commandant	NOUN	O	O	O
l'	le	DET	O	O	O
aviso	aviso	NOUN	O	O	O
français	français	ADJ	O	O	O
le	le	DET	O	O	O
