AVENTURES	aventure	NOUN	O	O	O
DU	de	ADP	O	O	O
CAPITAINE	capitaine	NOUN	O	O	O
BOB	bob	PROPN	O	O	O
KINCARDY	kincardy	PROPN	O	O	O
CHAPITRE	chapitre	NOUN	O	O	O
I	i	ADJ	O	O	O
Les	le	DET	O	O	O
tristesses	tristesse	NOUN	O	O	O
du	de	ADP	O	O	O
capitaine	capitaine	NOUN	O	O	O
Bob	bob	PROPN	O	O	O
Kincardy	kincardy	PROPN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Un	un	DET	O	O	O
alderman	alderman	NOUN	O	O	O
de	de	ADP	O	O	O
Boston	boston	PROPN	O	O	O
et	et	CCONJ	O	O	O
sa	son	DET	O	O	O
fille	fille	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Une	un	DET	O	O	O
annonce	annonce	NOUN	O	O	O
excentrique	excentrique	ADJ	O	O	O
et	et	CCONJ	O	O	O
ses	son	DET	O	O	O
effets	effet	NOUN	O	O	O
.	.	PUNCT	O	O	O

Les	le	DET	O	O	O
personnes	personne	NOUN	O	O	O
qui	qui	PRON	O	O	O
connaissaient	connaître	VERB	O	O	O
intimement	intimement	ADV	O	O	O
le	le	DET	O	O	O
capitaine	capitaine	NOUN	O	O	O
Bob	bob	PROPN	O	O	O
Kincardy	kincardy	PROPN	O	O	O
s	s	PRON	O	O	O
'	'	PRON	O	O	O
étonnaient	étonner	VERB	O	O	O
du	de	ADP	O	O	O
changement	changement	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
humeur	humeur	NOUN	O	O	O
opéré	opérer	VERB	O	O	O
en	en	ADP	O	O	O
lui	luire	PRON	O	O	O
.	.	PUNCT	O	O	O

Depuis	depuis	ADP	O	O	O
plus	plus	ADV	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
un	un	DET	O	O	O
mois	mois	NOUN	O	O	O
on	on	PRON	O	O	O
ne	ne	ADV	O	O	O
l	l	PRON	O	O	O
'	'	PRON	O	O	O
avait	avoir	AUX	O	O	O
pas	pas	ADV	O	O	O
vu	voir	VERB	O	O	O
sourire	sourire	VERB	O	O	O
.	.	PUNCT	O	O	O

Cependant	cependant	ADV	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
capitaine	capitaine	NOUN	O	O	O
Bob	bob	PROPN	O	O	O
Kincardy	kincardy	PROPN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
maison	maison	NOUN	O	O	O
Mulchisson	mulchisson	PROPN	O	O	O
,	,	PUNCT	O	O	O
Kincardy	kincardy	PROPN	O	O	O
et	et	CCONJ	O	O	O
Cie	cie	PROPN	O	O	O
,	,	PUNCT	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
une	un	PRON	O	O	O
des	de	ADP	O	O	O
principales	principal	ADJ	O	O	O
maisons	maison	NOUN	O	O	O
de	de	ADP	O	O	O
banque	banque	NOUN	O	O	O
de	de	ADP	O	O	O
Boston	boston	PROPN	O	O	O
,	,	PUNCT	O	O	O
possédait	posséder	VERB	O	O	O
,	,	PUNCT	O	O	O
disait	dire	VERB	O	O	O
-	-	PRON	O	O	O
on	on	PRON	O	O	O
,	,	PUNCT	O	O	O
cette	ce	DET	O	O	O
dose	dose	NOUN	O	O	O
de	de	ADP	O	O	O
gaieté	gaieté	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
philosophie	philosophie	NOUN	O	O	O
qui	qui	PRON	O	O	O
écarte	écarter	VERB	O	O	O
toujours	toujours	ADV	O	O	O
les	le	DET	O	O	O
noires	noir	ADJ	O	O	O
pensées	pensée	NOUN	O	O	O
du	de	ADP	O	O	O
front	front	NOUN	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
homme	homme	NOUN	O	O	O
.	.	PUNCT	O	O	O

Par	par	ADP	O	O	O
sa	son	DET	O	O	O
naissance	naissance	NOUN	O	O	O
,	,	PUNCT	O	O	O
son	son	DET	O	O	O
éducation	éducation	NOUN	O	O	O
et	et	CCONJ	O	O	O
ses	son	DET	O	O	O
relations	relation	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
appartenait	appartenir	VERB	O	O	O
à	à	ADP	O	O	O
cette	ce	DET	O	O	O
bienheureuse	bienheureux	ADJ	O	O	O
classe	classe	NOUN	O	O	O
que	que	PRON	O	O	O
les	le	DET	O	O	O
Américains	américain	NOUN	O	O	O
appellent	appeler	VERB	O	O	O
:	:	PUNCT	O	O	O
The	the	X	O	O	O
cod	cod	X	O	O	O
-	-	X	O	O	O
fisch	fisch	X	O	O	O
aristo	aristo	X	O	O	O
-	-	X	O	O	O
cracy	cracy	X	O	O	O
,	,	PUNCT	O	O	O
ou	ou	CCONJ	O	O	O
bien	bien	ADV	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
bon	bon	ADJ	O	O	O
français	français	NOUN	O	O	O
:	:	PUNCT	O	O	O
«	«	PUNCT	O	O	O
aristocratie	aristocratie	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
morue	morue	NOUN	O	O	O
»	»	PUNCT	O	O	O
;	;	PUNCT	O	O	O
désignation	désignation	NOUN	O	O	O
prosaïque	prosaïque	ADJ	O	O	O
qui	qui	PRON	O	O	O
explique	expliquer	VERB	O	O	O
clairement	clairement	ADV	O	O	O
de	de	ADP	O	O	O
quelle	quel	DET	O	O	O
manière	manière	NOUN	O	O	O
se	se	PRON	O	O	O
sont	être	AUX	O	O	O
créées	créer	VERB	O	O	O
les	le	DET	O	O	O
grandes	grand	ADJ	O	O	O
fortunes	fortune	NOUN	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
Union	union	PROPN	O	O	O
.	.	PUNCT	O	O	O

Aristocratie	aristocratie	NOUN	O	O	O
,	,	PUNCT	O	O	O
du	de	ADP	O	O	O
reste	reste	NOUN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
en	en	PRON	O	O	O
vaut	valoir	VERB	O	O	O
bien	bien	ADV	O	O	O
d	d	DET	O	O	O
'	'	DET	O	O	O
autres	autre	ADJ	O	O	O
et	et	CCONJ	O	O	O
à	à	ADP	O	O	O
laquelle	lequel	PRON	O	O	O
sont	être	AUX	O	O	O
fiers	fier	ADJ	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
appartenir	appartenir	VERB	O	O	O
les	le	DET	O	O	O
vaillants	vaillant	ADJ	O	O	O
Yankees	yankee	NOUN	O	O	O
.	.	PUNCT	O	O	O

Donc	donc	ADV	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
capitaine	capitaine	NOUN	O	O	O
Bob	bob	PROPN	O	O	O
Kincardy	kincardy	PROPN	O	O	O
ne	ne	ADV	O	O	O
souriait	sourire	VERB	O	O	O
plus	plus	ADV	O	O	O
.	.	PUNCT	O	O	O

Souvent	souvent	ADV	O	O	O
il	il	PRON	O	O	O
se	se	PRON	O	O	O
promenait	promener	VERB	O	O	O
seul	seul	ADJ	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
bords	bord	NOUN	O	O	O
du	de	ADP	O	O	O
Charles	charles	PROPN	O	O	O
-	-	PROPN	O	O	O
River	river	PROPN	O	O	O
ou	ou	CCONJ	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
rivages	rivage	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
baie	baie	NOUN	O	O	O
de	de	ADP	O	O	O
Massachussets	massachussets	PROPN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
alors	alors	ADV	O	O	O
,	,	PUNCT	O	O	O
son	son	DET	O	O	O
regard	regard	NOUN	O	O	O
soucieux	soucieux	ADJ	O	O	O
fouillait	fouiller	VERB	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
espace	espace	NOUN	O	O	O
et	et	CCONJ	O	O	O
se	se	PRON	O	O	O
reposait	reposer	VERB	O	O	O
complaisamment	complaisamment	ADV	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
vagues	vague	NOUN	O	O	O
bleuâtres	bleuâtre	ADJ	O	O	O
soulevées	soulever	VERB	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
flux	flux	NOUN	O	O	O
.	.	PUNCT	O	O	O

Ce	ce	DET	O	O	O
regard	regard	NOUN	O	O	O
exprimait	exprimer	VERB	O	O	O
des	un	DET	O	O	O
tristesses	tristesse	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
surtout	surtout	ADV	O	O	O
des	un	DET	O	O	O
regrets	regret	NOUN	O	O	O
.	.	PUNCT	O	O	O

Avant	avant	ADP	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
être	être	AUX	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
un	un	PRON	O	O	O
des	de	ADP	O	O	O
chefs	chef	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
maison	maison	NOUN	O	O	O
Mal	mal	PROPN	O	O	O
-	-	NOUN	O	O	O
chisson	chisson	NOUN	O	O	O
,	,	PUNCT	O	O	O
Kincardy	kincardy	PROPN	O	O	O
et	et	CCONJ	O	O	O
Cie	cie	PROPN	O	O	O
,	,	PUNCT	O	O	O
Robert	robert	PROPN	O	O	O
Kincardy	kincardy	PROPN	O	O	O
avait	avoir	AUX	O	O	O
longtemps	longtemps	ADV	O	O	O
navigué	naviguer	VERB	O	O	O
.	.	PUNCT	O	O	O

Quand	quand	SCONJ	O	O	O
il	il	PRON	O	O	O
eut	avoir	VERB	O	O	O
vingt	vingt	NUM	O	O	O
ans	an	NOUN	O	O	O
,	,	PUNCT	O	O	O
son	son	DET	O	O	O
père	père	NOUN	O	O	O
lui	luire	PRON	O	O	O
dit	dire	VERB	O	O	O
:	:	PUNCT	O	O	O
«	«	PUNCT	O	O	O
Bob	bob	PROPN	O	O	O
,	,	PUNCT	O	O	O
que	que	PRON	O	O	O
veux	vouloir	VERB	O	O	O
-	-	PRON	O	O	O
tu	tu	PRON	O	O	O
être	être	VERB	O	O	O
?	?	PUNCT	O	O	O

que	que	PRON	O	O	O
veux	vouloir	VERB	O	O	O
-	-	PRON	O	O	O
tu	tu	PRON	O	O	O
faire	faire	VERB	O	O	O
?	?	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Ce	ce	PRON	O	O	O
qu	que	PRON	O	O	O
'	'	PRON	O	O	O
il	il	PRON	O	O	O
vous	vous	PRON	O	O	O
plaira	plaire	VERB	O	O	O
,	,	PUNCT	O	O	O
mon	mon	DET	O	O	O
père	père	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Très	très	ADV	O	O	O
-	-	ADV	O	O	O
bien	bien	ADV	O	O	O
.	.	PUNCT	O	O	O

Cette	ce	DET	O	O	O
réponse	réponse	NOUN	O	O	O
est	être	AUX	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
un	un	DET	O	O	O
bon	bon	ADJ	O	O	O
fils	fils	NOUN	O	O	O
;	;	PUNCT	O	O	O
aussi	aussi	ADV	O	O	O
,	,	PUNCT	O	O	O
pour	pour	ADP	O	O	O
que	que	SCONJ	O	O	O
tu	tu	PRON	O	O	O
