seoir	seoir	VERB	O	O	O
sous	sou	ADP	O	O	O
un	un	DET	O	O	O
arbre	arbre	NOUN	O	O	O
en	en	ADP	O	O	O
face	face	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
statue	statue	NOUN	O	O	O
de	de	ADP	O	O	O
Louis	louis	PROPN	O	O	O
XIII	xiii	ADJ	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
il	il	PRON	O	O	O
ne	ne	ADV	O	O	O
tarde	tarde	NOUN	O	O	O
point	poindre	VERB	O	O	O
à	à	ADP	O	O	O
se	se	PRON	O	O	O
voir	voir	VERB	O	O	O
entouré	entourer	VERB	O	O	O
par	par	ADP	O	O	O
une	un	DET	O	O	O
bande	bande	NOUN	O	O	O
d'	de	ADP	O	O	O
enfants	enfant	NOUN	O	O	O
.	.	PUNCT	O	O	O

Quand	quand	SCONJ	O	O	O
,	,	PUNCT	O	O	O
plongé	plonger	VERB	O	O	O
dans	dans	ADP	O	O	O
ses	son	DET	O	O	O
rêveries	rêverie	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
n'	ne	ADV	O	O	O
appelle	appeler	VERB	O	O	O
point	poindre	VERB	O	O	O
de	de	ADP	O	O	O
suite	suite	NOUN	O	O	O
,	,	PUNCT	O	O	O
par	par	ADP	O	O	O
un	un	DET	O	O	O
signe	signe	NOUN	O	O	O
de	de	ADP	O	O	O
tête	tête	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
marchandes	marchand	NOUN	O	O	O
de	de	ADP	O	O	O
gâteaux	gâteau	NOUN	O	O	O
,	,	PUNCT	O	O	O
celles	celui	PRON	O	O	O
-	-	PUNCT	O	O	O
ci	ci	NOUN	O	O	O
,	,	PUNCT	O	O	O
leur	son	DET	O	O	O
panier	panier	VERB	O	O	O
au	au	ADP	O	O	O
bras	bras	NOUN	O	O	O
,	,	PUNCT	O	O	O
rôdent	rôdent	NOUN	O	O	O
autour	autour	ADV	O	O	O
de	de	ADP	O	O	O
lui	luire	PRON	O	O	O
et	et	CCONJ	O	O	O
exhibent	exhiber	ADV	O	O	O
perfidement	perfidement	ADJ	O	O	O
,	,	PUNCT	O	O	O
sous	sou	ADP	O	O	O
les	le	DET	O	O	O
yeux	oeil	NOUN	O	O	O
de	de	ADP	O	O	O
tout	tout	ADJ	O	O	O
ce	ce	DET	O	O	O
petit	petit	ADJ	O	O	O
monde	monde	NOUN	O	O	O
si	si	SCONJ	O	O	O
facile	facile	NOUN	O	O	O
à	à	ADP	O	O	O
induire	induire	VERB	O	O	O
en	en	ADP	O	O	O
convoitise	convoitise	NOUN	O	O	O
,	,	PUNCT	O	O	O
des	de	ADP	O	O	O
tas	tas	NOUN	O	O	O
de	de	ADP	O	O	O
jouets	jouet	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
pâtisseries	pâtisserie	NOUN	O	O	O
.	.	PUNCT	O	O	O

Alors	alors	ADV	O	O	O
le	le	DET	O	O	O
grand	grand	ADJ	O	O	O
vieillard	vieillard	NOUN	O	O	O
,	,	PUNCT	O	O	O
comme	comme	ADP	O	O	O
éveillé	éveillé	NOUN	O	O	O
en	en	ADP	O	O	O
sursaut	sursaut	NOUN	O	O	O
,	,	PUNCT	O	O	O
ouvre	ouvrir	VERB	O	O	O
les	le	DET	O	O	O
yeux	oeil	NOUN	O	O	O
,	,	PUNCT	O	O	O
relève	relever	VERB	O	O	O
la	le	DET	O	O	O
tête	tête	NOUN	O	O	O
et	et	CCONJ	O	O	O
sourit	sourit	ADJ	O	O	O
.	.	PUNCT	O	O	O

Aussitôt	aussitôt	ADV	O	O	O
les	le	DET	O	O	O
marchandes	marchand	NOUN	O	O	O
accourent	accourir	ADV	O	O	O
,	,	PUNCT	O	O	O
non	non	ADV	O	O	O
sans	sans	ADP	O	O	O
lui	luire	PRON	O	O	O
faire	faire	VERB	O	O	O
une	un	DET	O	O	O
de	de	ADP	O	O	O
leurs	leur	DET	O	O	O
plus	plus	ADV	O	O	O
belles	bel	ADJ	O	O	O
révérences	révérence	NOUN	O	O	O
